seed,mode,T,fullGO,eventGOLoss,postPairDistanceIncrease,eventFreshNeighbors,eventActiveNeighbors,eventInputMass,eventInputConcentration
101,none,3,0.734515224357536,-0.00197153197967909,0.000290292885789744,8,8,0.09625452574583,0.546080191824151
101,hold,3,0.736237140765917,-6.92647627540621e-05,-7.05203806636745e-06,8,15,0.180477235773431,0.508844474192283
101,mean,3,0.735798891849574,-8.18311644475878e-05,-3.45708257848271e-06,8,15,0.180477235773431,0.509033041400155
101,kalman,3,0.735801239655283,-8.47302647493997e-05,-2.35102050499036e-06,8,15,0.180477235773431,0.508939807283452
101,none,10.2,0.731913433600663,-0.000154394745048884,-0.000104645951809073,8,8,0.09625452574583,0.542944300485345
101,hold,10.2,0.736012059123939,0.000476369873315625,-0.000136991183415894,8,15,0.180477235773431,0.507099945059011
101,mean,10.2,0.736207807745353,0.000135097073972513,-0.000111715161670211,8,15,0.180477235773431,0.507494444140316
101,kalman,10.2,0.736899774031818,-5.24461649807938e-05,0.000312067904140094,8,15,0.180477235773431,0.505882246562544
101,none,30,0.732424204915112,0.018099579476845,-0.00529525862625361,8,8,0.09625452574583,0.538887251078995
101,hold,30,0.73743449330924,0.0096255531001948,-0.00288506757087552,8,15,0.180477235773431,0.504914606389786
101,mean,30,0.698035342820232,-0.00400579992457767,0.00153322296964934,8,15,0.180477235773431,0.502988224055995
101,kalman,30,0.741010828644374,-0.00590849598415247,0.00060049577212002,8,15,0.180477235773431,0.475742194341262
102,none,3,0.821010355128686,0.00202307865148699,-0.000255036629683808,8,8,0.09625452574583,0.53387127268906
102,hold,3,0.818809366504819,0.000116212720125108,-2.50807843944462e-05,8,15,0.180477235773431,0.490641957308832
102,mean,3,0.818015441494509,1.18247615654488e-05,9.25278968949839e-07,8,15,0.180477235773431,0.491466004183524
102,kalman,3,0.818009323012165,1.07327784315103e-05,8.8587210752028e-07,8,15,0.180477235773431,0.491373539451127
102,none,10.2,0.821720849861386,0.00463967982851576,-0.00113441840235183,8,8,0.09625452574583,0.516309811623146
102,hold,10.2,0.819595782807345,0.000360211703562825,-0.000172622004034732,8,15,0.180477235773431,0.490521459793565
102,mean,10.2,0.818832811664017,0.000228289207282667,-5.60465388231465e-05,8,15,0.180477235773431,0.492369101668521
102,kalman,10.2,0.816609704871126,0.000248519019223393,0.000370021750353449,8,15,0.180477235773431,0.490759140498252
102,none,30,0.827851303139155,0.0165966787065305,-0.00722140339840829,8,8,0.09625452574583,0.491555122371232
102,hold,30,0.823472253926953,-0.00105420675149091,-0.00209161123628109,8,15,0.180477235773431,0.489561837617821
102,mean,30,0.816645399979889,-0.000184416217368341,0.000783192432467236,8,15,0.180477235773431,0.491985152837345
102,kalman,30,0.816848590839773,-3.65416666568463e-05,0.000561190502463282,8,15,0.180477235773431,0.463598347741417
103,none,3,0.647335237447446,0.00217471180286039,-0.000220512062321447,8,8,0.09625452574583,0.5022842819875
103,hold,3,0.662286875321785,-4.56378422005188e-05,-1.89677313210271e-05,8,15,0.180477235773431,0.493904754034537
103,mean,3,0.662309222257225,-5.42468975739729e-05,-1.438400809565e-05,8,15,0.180477235773431,0.493704324284927
103,kalman,3,0.662309439439207,-5.42335633001545e-05,-1.45378296983611e-05,8,15,0.180477235773431,0.493614940076241
103,none,10.2,0.650272146084114,0.00344065880182242,-0.00049998402249711,8,8,0.09625452574583,0.5044205797811
103,hold,10.2,0.662192001714172,0.000101181646691223,-5.70457407043878e-05,8,15,0.180477235773431,0.493776118761392
103,mean,10.2,0.663837731556762,-0.00157556722713623,0.000108685955728672,8,15,0.180477235773431,0.493345674218482
103,kalman,10.2,0.662625829199074,-0.00162293836327887,0.000113773768029116,8,15,0.180477235773431,0.491828847787323
103,none,30,0.677139479790709,0.000572111141915934,-0.00115153879660146,8,8,0.09625452574583,0.512198250868147
103,hold,30,0.660181033308572,0.00477574790331358,-0.000705593131460747,8,15,0.180477235773431,0.491658375981917
103,mean,30,0.659672856453251,-0.00107714549519154,0.000380095596689234,8,15,0.180477235773431,0.489683085987864
