seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,postGOLoss,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,postPairDistanceIncrease,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
202,7,0.466666666666667,3,10,none,0.265746187490233,0.00328963492897915,5.68990334443759e-05,0.987504658993887,0.258472539132861,4.63074706576472e-06,0.000119273443177774,0.09625452574583,8,8,0.399172501824992,NaN,NaN,0,1.2
202,7,0.466666666666667,3,10,hold,0.265746187490233,3.75652429101703e-05,0.000247071916643014,0.999857312276203,0.25863357095732,4.49020805443068e-07,2.59218007467404e-05,0.180477235773431,15,8,0.343811066220199,0.0332337867735182,0.0329877451081133,1400,1.2
202,7,0.466666666666667,3,10,mean,0.265746187490233,-0.000163333506893648,-0.0020344752791388,1.00062040558008,0.25874746475442,-9.46269642587705e-08,6.46390608733688e-05,0.180477235773431,15,8,0.339154399942107,0.0436272781064315,0.0244606821688569,1400,1.2
202,7,0.466666666666667,3,10,kalman,0.265746187490233,-0.000162017830304007,-0.00203570236644437,1.00061540811744,0.258743575930781,-9.83521948105803e-08,6.37899689364918e-05,0.180477235773431,15,8,0.33910070748386,0.0436273023947587,0.0244606819179891,1400,1.2
202,7,0.466666666666667,3,10,kalman-gm,0.265746187490233,-4.18367860967606e-06,-0.001775012437352,1.00001589127427,0.258725714533903,3.26777265818867e-07,5.44163010243953e-05,0.180477235773431,15,8,0.341276209992043,0.0335045137664673,0.0166180428463123,1400,1.2
202,7,0.466666666666667,6,20,none,0.265746187490233,0.00516486562301899,0.00693277446085188,0.980375027326334,0.253171386585738,2.34993887557711e-05,0.000328742559886362,0.09625452574583,8,8,0.398072510475361,NaN,NaN,0,1.2
202,7,0.466666666666667,6,20,hold,0.265746187490233,0.00040512501990182,0.00135043738225081,0.998460643891768,0.25863357095732,3.77629854166894e-06,5.94932549827382e-05,0.180477235773431,15,8,0.342650614727757,0.0438137127080683,0.0581333791788383,2800,1.2
202,7,0.466666666666667,6,20,mean,0.265746187490233,-0.00165675691538895,-0.000483561517265437,1.00629518976186,0.25874746475442,5.18499639458048e-06,0.000119996942383372,0.180477235773431,15,8,0.337924174829925,0.0503795531876466,0.039890070137079,2800,1.2
202,7,0.466666666666667,6,20,kalman,0.265746187490233,-0.00144361547782014,-0.000445211399002767,1.00548531488936,0.258743575930781,4.87320735249597e-06,0.000116492375289634,0.180477235773431,15,8,0.337684322470125,0.0503817432995567,0.0398882806824075,2800,1.2
202,7,0.466666666666667,6,20,kalman-gm,0.265746187490233,-0.0016430256381672,-0.00163495928127608,1.00624301494069,0.258725714533903,4.42345625003004e-06,0.000115384338679994,0.180477235773431,15,8,0.338441380287446,0.0445431237200103,0.0292950723020184,2800,1.2
