hiddenCount,T,mode,metric,n,mean,ci95
7,10.2,mean,eventGOLoss,2,0.00015716775120594,0.00266366278455673
7,10.2,mean,eventGODeviation,2,0.00147202089374471,0.000349304125092713
7,10.2,mean,postGOLoss,2,0.00984734074861662,0.0133478704979941
7,10.2,mean,postGODeviation,2,0.00989779282677083,0.0132489844248119
7,10.2,mean,eventPairDistanceIncrease,2,7.83439039507599e-06,2.6799811218365e-05
7,10.2,mean,eventPairDistanceDeviation,2,1.37106389470706e-05,1.54284417606002e-05
7,10.2,mean,postPairDistanceIncrease,2,0.000168039021330059,0.000341925434407708
7,10.2,mean,postPairDistanceDeviation,2,0.000174612690244924,0.000329041043334572
7,10.2,mean,meanPredictionError,2,0.0630498344056973,0.0207867342135354
7,10.2,mean,p90PredictionError,2,0.0681126508240496,0.00978134027650007
7,10.2,mean,recoveryTime,2,1.2,0
7,10.2,kalman,eventGOLoss,2,0.000803770380984979,0.00214204110951022
7,10.2,kalman,eventGODeviation,2,0.00176083436038271,0.000494766566331708
7,10.2,kalman,postGOLoss,2,0.0148224991601686,0.0157004084998975
7,10.2,kalman,postGODeviation,2,0.0148224991601686,0.0157004084998975
7,10.2,kalman,eventPairDistanceIncrease,2,4.91386288104783e-06,2.47741307534317e-05
7,10.2,kalman,eventPairDistanceDeviation,2,1.26780607043007e-05,9.70602436554241e-06
7,10.2,kalman,postPairDistanceIncrease,2,5.14704169540655e-05,0.000388801222751116
7,10.2,kalman,postPairDistanceDeviation,2,0.000198367970791386,0.000100882017229968
7,10.2,kalman,meanPredictionError,2,0.0630452851088585,0.0207917121081276
7,10.2,kalman,p90PredictionError,2,0.068112869738597,0.00978092078732789
7,10.2,kalman,recoveryTime,2,1.2,0
7,10.2,kalman-gm,eventGOLoss,2,-0.000921237487235233,0.00180864305920617
7,10.2,kalman-gm,eventGODeviation,2,0.00128767118668059,0.00120893259973992
7,10.2,kalman-gm,postGOLoss,2,0.00543233543483757,0.011282729280432
7,10.2,kalman-gm,postGODeviation,2,0.00620105291418527,0.00988439286150407
7,10.2,kalman-gm,eventPairDistanceIncrease,2,1.15151841964917e-05,1.25592998546679e-05
7,10.2,kalman-gm,eventPairDistanceDeviation,2,1.1661123447958e-05,1.22798899698088e-05
7,10.2,kalman-gm,postPairDistanceIncrease,2,0.000152628730116817,0.00023482191069096
7,10.2,kalman-gm,postPairDistanceDeviation,2,0.000152628730116817,0.00023482191069096
7,10.2,kalman-gm,meanPredictionError,2,0.0458239708208198,0.0305049330784488
7,10.2,kalman-gm,p90PredictionError,2,0.0506775404766176,0.00798020951121037
7,10.2,kalman-gm,recoveryTime,2,1.2,0
11,3,none,eventGOLoss,2,0.0020513471290914,0.00142419015434242
11,3,none,eventGODeviation,2,0.00240279973033469,0.00156841182341168
11,3,none,postGOLoss,2,0.0118283344514978,0.025117952381792
11,3,none,postGODeviation,2,0.013447858739448,0.0219436847774096
11,3,none,eventPairDistanceIncrease,2,-5.73425811631887e-06,1.78772582486872e-05
11,3,none,eventPairDistanceDeviation,2,9.20555182964409e-06,1.10735225705698e-05
11,3,none,postPairDistanceIncrease,2,-8.19293007722024e-05,0.000350661159339115
11,3,none,postPairDistanceDeviation,2,0.000178908754764855,0.000160581429513517
11,3,none,recoveryTime,2,1.2,0
11,3,hold,eventGOLoss,2,1.99085769660892e-05,2.62839486411622e-05
11,3,hold,eventGODeviation,2,0.000297900175883357,6.6423841637161e-05
11,3,hold,postGOLoss,2,9.59602657625335e-05,0.000282986613538627
11,3,hold,postGODeviation,2,0.000644448921457432,0.000630700638091999
11,3,hold,eventPairDistanceIncrease,2,3.39872086577153e-07,8.11695213557839e-07
11,3,hold,eventPairDistanceDeviation,2,4.45069222734796e-07,6.05508826688861e-07
11,3,hold,postPairDistanceIncrease,2,2.46422107585918e-05,3.2976840159273e-05
11,3,hold,postPairDistanceDeviation,2,2.47311880133504e-05,3.28024447399463e-05
11,3,hold,meanPredictionError,2,0.0239427683739434,0.00835498896220911
11,3,hold,p90PredictionError,2,0.0346498273301518,0.00119812256667671
11,3,hold,recoveryTime,2,1.2,0
11,3,mean,eventGOLoss,2,-7.13707257769785e-05,0.000125448627306005
11,3,mean,eventGODeviation,2,7.26230815023128e-05,0.000126497549458579
11,3,mean,postGOLoss,2,-0.00069787655128522,0.00263115154485335
11,3,mean,postGODeviation,2,0.00141865216731751,0.00146587435270517
11,3,mean,eventPairDistanceIncrease,2,1.5028855501753e-08,3.98028061056044e-08
11,3,mean,eventPairDistanceDeviation,2,4.0248715379998e-08,6.80839649284115e-08
11,3,mean,postPairDistanceIncrease,2,2.50633606360122e-05,8.10074288948727e-05
11,3,mean,postPairDistanceDeviation,2,4.1330320864731e-05,4.91241868465839e-05
11,3,mean,meanPredictionError,2,0.024491374079055,0.0174036543331311
11,3,mean,p90PredictionError,2,0.0263054043105823,0.000389355687383504
11,3,mean,recoveryTime,2,1.2,0
11,3,kalman,eventGOLoss,2,-7.34523055742023e-05,0.000112339008314146
11,3,kalman,eventGODeviation,2,7.52299520715222e-05,0.000114316109368332
11,3,kalman,postGOLoss,2,-0.000541702118482931,0.00290754915856862
11,3,kalman,postGODeviation,2,0.00155966908463444,0.00113189567596752
11,3,kalman,eventPairDistanceIncrease,2,7.98398009094205e-09,4.20066569922772e-08
11,3,kalman,eventPairDistanceDeviation,2,4.20365595693584e-08,5.55102632467941e-08
11,3,kalman,postPairDistanceIncrease,2,2.03917871564328e-05,8.74029849223819e-05
11,3,kalman,postPairDistanceDeviation,2,4.45933596542765e-05,3.99679028266083e-05
11,3,kalman,meanPredictionError,2,0.0244913743032448,0.0174036673919933
11,3,kalman,p90PredictionError,2,0.0263053394233507,0.000389482866347246
11,3,kalman,recoveryTime,2,1.2,0
11,3,kalman-gm,eventGOLoss,2,-3.28868030714122e-05,5.77877520256125e-05
11,3,kalman-gm,eventGODeviation,2,0.000129520518108563,0.000246891938006931
11,3,kalman-gm,postGOLoss,2,-0.000892453565081169,0.00188609032971943
11,3,kalman-gm,postGODeviation,2,0.00105231722235989,0.00176116812047251
11,3,kalman-gm,eventPairDistanceIncrease,2,2.71188300168812e-07,5.36494006993737e-07
11,3,kalman-gm,eventPairDistanceDeviation,2,2.73721432139662e-07,5.31529068330872e-07
11,3,kalman-gm,postPairDistanceIncrease,2,3.06253467293902e-05,5.93380311851815e-05
11,3,kalman-gm,postPairDistanceDeviation,2,3.08980545084306e-05,5.88035239382622e-05
11,3,kalman-gm,meanPredictionError,2,0.0201272796136656,0.0217313619388194
11,3,kalman-gm,p90PredictionError,2,0.0179750825780953,0.00285640902173896
11,3,kalman-gm,recoveryTime,2,1.2,0
11,10.2,none,eventGOLoss,2,0.00643218892943467,0.00260419154333348
11,10.2,none,eventGODeviation,2,0.00653555734156505,0.00264660968129503
11,10.2,none,postGOLoss,2,0.0147683969634171,0.0213785118129461
11,10.2,none,postGODeviation,2,0.0169729850249433,0.0170575192123547
11,10.2,none,eventPairDistanceIncrease,2,2.13079273917796e-05,0.000139058756252972
11,10.2,none,eventPairDistanceDeviation,2,7.09731984690156e-05,4.18122504341865e-05
11,10.2,none,postPairDistanceIncrease,2,0.000320578244857871,0.00130562144524373
