seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS
138,1,6001,1e-08,3,6.73663096105307e-05,0.0015470590841973,9.78388820305474e-06,0,0,0,0.94386981670258
138,1,6001,1e-08,10.2,0.000423290541597734,0.0150123053866208,3.0701926526387e-05,0,0,0,0.94386981670258
138,1,6001,1e-08,30,0.00567760293276906,0.138437030182575,0.00022036857811208,0,0,0,0.94386981670258
138,1,6001,1e-08,60,0.0475475690274307,0.655909811610098,0.001160888145643,0,0,0,0.94386981670258
138,1,6001,1e-08,120,0.170820456943251,2.54513248605671,0.00737909542410409,0,0,0,0.94386981670258
138,1,6001,1e-06,3,6.29057533293125e-05,0.0015470590841973,8.40741847535785e-05,1,0,0,0.832388753372832
138,1,6001,1e-06,10.2,0.000463749867096333,0.0150123053866208,0.000801581202199402,1,0,0,0.832388753372832
138,1,6001,1e-06,30,0.00635416619511425,0.138437030182575,0.0121645920110148,1,0,0,0.832388753372832
138,1,6001,1e-06,60,0.0517891271463589,0.655909811610098,0.0840083161455725,1,0,0,0.832388753372832
138,1,6001,1e-06,120,0.187603843436832,2.54513248605671,0.622782900887812,1,0,0,0.832388753372832
138,1,6001,0.0001,3,0.00079410450176836,0.0015470590841973,0.00201027975025284,1,0,0,0.74487217503286
138,1,6001,0.0001,10.2,0.0068391307603051,0.0150123053866208,0.0457343308175817,1,0,0,0.74487217503286
138,1,6001,0.0001,30,0.0642091365576531,0.138437030182575,0.984502341602683,1,0,0,0.74487217503286
138,1,6001,0.0001,60,0.326882365050499,0.655909811610098,7.53294378013383,1,1,0,0.74487217503286
138,1,6001,0.0001,120,1.25050606287326,2.54513248605671,58.9217748425493,1,1,0,0.74487217503286
138,1,6801,1e-08,3,3.04429478979803e-05,0.000167939188539391,9.78388820305474e-06,1,0,0,2.4392422151351
138,1,6801,1e-08,10.2,6.36071647099271e-05,0.00148459526332742,3.0701926526387e-05,1,0,0,2.4392422151351
138,1,6801,1e-08,30,9.12125225105887e-05,0.0130041300525606,0.00022036857811208,1,0,0,2.4392422151351
138,1,6801,1e-08,60,0.00125708469016031,0.0419918591868901,0.001160888145643,1,0,0,2.4392422151351
138,1,6801,1e-08,120,0.041857347282131,0.072555128523739,0.00737909542410409,0,0,0,2.4392422151351
138,1,6801,1e-06,3,1.43001783981429e-06,0.000167939188539391,8.40741847535785e-05,1,0,0,0.690042580764677
138,1,6801,1e-06,10.2,5.49657165980439e-06,0.00148459526332742,0.000801581202199402,1,0,0,0.690042580764677
138,1,6801,1e-06,30,1.01852543130087e-07,0.0130041300525606,0.0121645920110148,1,0,0,0.690042580764677
138,1,6801,1e-06,60,0.00043134240794954,0.0419918591868901,0.0840083161455725,1,0,0,0.690042580764677
138,1,6801,1e-06,120,0.032038718790236,0.072555128523739,0.622782900887812,1,0,0,0.690042580764677
138,1,6801,0.0001,3,6.03083164238813e-05,0.000167939188539391,0.00201027975025284,1,0,0,0.631093952981065
138,1,6801,0.0001,10.2,0.000380089643125015,0.00148459526332742,0.0457343308175817,1,0,0,0.631093952981065
138,1,6801,0.0001,30,0.00216870984516371,0.0130041300525606,0.984502341602683,1,0,0,0.631093952981065
138,1,6801,0.0001,60,0.0123450372836195,0.0419918591868901,7.53294378013383,1,1,0,0.631093952981065
138,1,6801,0.0001,120,0.127814410712935,0.072555128523739,58.9217748425493,1,1,0,0.631093952981065
138,1,7601,1e-08,3,2.97269095695826e-07,2.55052165829684e-05,9.78388820305474e-06,1,0,0,1.09894227940299
138,1,7601,1e-08,10.2,2.64309838011152e-07,0.00147786307861654,3.0701926526387e-05,1,0,0,1.09894227940299
138,1,7601,1e-08,30,0.0061215783955205,0.043656767350177,0.00022036857811208,0,0,0,1.09894227940299
138,1,7601,1e-08,60,0.155717331670953,0.441319115562767,0.001160888145643,0,0,0,1.09894227940299
138,1,7601,1e-08,120,4.06161704546881,6.56931207215127,0.00737909542410409,0,0,0,1.09894227940299
138,1,7601,1e-06,3,4.05808461341867e-06,2.55052165829684e-05,8.40741847535785e-05,1,0,0,0.860050740790373
138,1,7601,1e-06,10.2,4.14459427597025e-05,0.00147786307861654,0.000801581202199402,1,0,0,0.860050740790373
138,1,7601,1e-06,30,0.00360803353365759,0.043656767350177,0.0121645920110148,1,0,0,0.860050740790373
138,1,7601,1e-06,60,0.128075477469476,0.441319115562767,0.0840083161455725,1,0,0,0.860050740790373
