T,kalmanRMSE,holdRMSE,coverage95,wholeCircleFraction,jumpCasesOf120,improvedSeedsOf2,seed140MSEDifference,seed141MSEDifference
3,0.27364441182266,0.152049982145687,0.958333333333333,0,0,1,0.111857097535204,-0.00833296343267178
10.2,0.412625967862867,0.463358674106957,0.933333333333333,0,1,1,0.00144282433982377,-0.0903249673706029
30,0.743224603207168,0.771235988741745,0.933333333333333,0,2,1,0.0706685944641862,-0.155512873500195
60,1.15082342426709,1.19417726779533,1,1,4,2,-0.178881520358932,-0.024448065795632
120,1.61947904281799,1.62129247012493,1,1,7,1,0.145936597181431,-0.157690404295731
