hiddenCount,T,mode,metric,n,mean,ci95Low,ci95High
7.0,6.0,hold,postGOLoss,30,0.00021447748322404487,-0.00025516096755697474,0.0007052528497991646
7.0,6.0,hold,postGODeviation,30,0.0011526567548924072,0.0008181185793048206,0.0015039595556341216
7.0,6.0,hold,eventPairDistanceIncrease,30,2.461979461946009e-06,1.1857903746048209e-06,4.1215015769240825e-06
7.0,6.0,hold,eventPairDistanceDeviation,30,3.0128909889299434e-06,1.9102161326555358e-06,4.538978955243559e-06
7.0,6.0,hold,postPairDistanceIncrease,30,4.098568374009756e-05,2.3338179660845556e-05,5.945720473610982e-05
7.0,6.0,hold,postPairDistanceDeviation,30,4.96141471481156e-05,3.506665772028721e-05,6.55935494383391e-05
7.0,6.0,hold,meanPredictionError,30,0.037813849217477574,0.03236575844347661,0.0434052904444664
7.0,6.0,hold,p90PredictionError,30,0.064691519691098,0.05445554308382152,0.0761230501173706
7.0,6.0,hold,recoveryTime,30,1.2,1.2,1.2
7.0,6.0,kalman,eventGOLoss,30,3.940520470109923e-05,-0.00021714104047916956,0.0003198429307684763
7.0,6.0,kalman,eventGODeviation,30,0.0005673833584919867,0.00039044374163603685,0.0007738822602448522
7.0,6.0,kalman,postGOLoss,30,0.00023788615705488278,-0.0007349238108833017,0.0014873199392368098
7.0,6.0,kalman,postGODeviation,30,0.0016991651247770549,0.000926285782594618,0.0027905483601044657
7.0,6.0,kalman,eventPairDistanceIncrease,30,8.336905507168552e-07,-5.333923499293659e-07,2.594449963943747e-06
7.0,6.0,kalman,eventPairDistanceDeviation,30,2.51733651248478e-06,1.3772525065853612e-06,4.026627303487402e-06
7.0,6.0,kalman,postPairDistanceIncrease,30,8.422630921206111e-06,-1.2812490574008879e-05,3.2414045368301386e-05
7.0,6.0,kalman,postPairDistanceDeviation,30,4.3414058381147994e-05,2.7723799704388578e-05,6.161238402368009e-05
7.0,6.0,kalman,meanPredictionError,30,0.03548551558456013,0.030900465248831343,0.04037103007140483
7.0,6.0,kalman,p90PredictionError,30,0.0443856597135283,0.04266292852774711,0.046172668154097374
7.0,6.0,kalman,recoveryTime,30,1.2,1.2,1.2
7.0,6.0,kalman-gm,eventGOLoss,30,-4.351409251395051e-05,-0.0003242056728996899,0.0002544264216600996
7.0,6.0,kalman-gm,eventGODeviation,30,0.0005748536850984801,0.0003659638350015376,0.0008228337427082529
7.0,6.0,kalman-gm,postGOLoss,30,-5.508785266917565e-06,-0.0002699152762272479,0.00024384995085573822
7.0,6.0,kalman-gm,postGODeviation,30,0.0006388329707842133,0.00043683367721465227,0.0008742181310269321
7.0,6.0,kalman-gm,eventPairDistanceIncrease,30,1.0548283195937586e-06,-2.7901612508184646e-07,2.7183057213884436e-06
7.0,6.0,kalman-gm,eventPairDistanceDeviation,30,2.4854126652598693e-06,1.4831984321477205e-06,3.9011948285246585e-06
7.0,6.0,kalman-gm,postPairDistanceIncrease,30,1.516352248386056e-05,-1.3378135272120962e-06,3.3851339781376644e-05
7.0,6.0,kalman-gm,postPairDistanceDeviation,30,3.224209533606376e-05,1.9786953638444782e-05,4.7466546796224316e-05
7.0,6.0,kalman-gm,meanPredictionError,30,0.03164895353039244,0.0262842063661131,0.03749071928865497
7.0,6.0,kalman-gm,p90PredictionError,30,0.0319180767658005,0.02719259087633845,0.0375376979912616
7.0,6.0,kalman-gm,recoveryTime,30,1.2,1.2,1.2
7.0,6.0,mean,eventGOLoss,30,3.7260137909040306e-05,-0.00021645030637643911,0.0003169735200759317
7.0,6.0,mean,eventGODeviation,30,0.0005598277540678054,0.00038266107994343464,0.0007705455124667902
7.0,6.0,mean,postGOLoss,30,0.00025399776045251086,-0.0007123172371290671,0.0014818083531603252
7.0,6.0,mean,postGODeviation,30,0.0016640452290334945,0.0008985695575302982,0.0027302058524483453
7.0,6.0,mean,eventPairDistanceIncrease,30,9.380060360339452e-07,-4.2984231812588263e-07,2.6892743391485526e-06
7.0,6.0,mean,eventPairDistanceDeviation,30,2.499011007258181e-06,1.3590016734935558e-06,4.022710740511405e-06
7.0,6.0,mean,postPairDistanceIncrease,30,1.0513520456267726e-05,-1.0822377808195078e-05,3.4524654586452476e-05
7.0,6.0,mean,postPairDistanceDeviation,30,4.2052770223272196e-05,2.577275823423174e-05,6.10369573286238e-05
7.0,6.0,mean,meanPredictionError,30,0.035485623605060135,0.030900663427466626,0.040370853003536704
7.0,6.0,mean,p90PredictionError,30,0.044385111308335744,0.04266377762721004,0.04617044750082479
7.0,6.0,mean,recoveryTime,30,1.2,1.2,1.2
7.0,6.0,none,eventGOLoss,30,1.5883505038713067e-05,-0.001683739753544079,0.0017398869879698205
7.0,6.0,none,eventGODeviation,30,0.004009042334748925,0.003032371560742646,0.005044660507822856
7.0,6.0,none,postGOLoss,30,-0.0022434530036047656,-0.005508579477877205,0.0009568658664849463
7.0,6.0,none,postGODeviation,30,0.008292266593700958,0.006540987028689671,0.010246156482580673
7.0,6.0,none,eventPairDistanceIncrease,30,3.111132930503907e-05,2.1022885537911686e-05,4.1796680645887225e-05
7.0,6.0,none,eventPairDistanceDeviation,30,3.333402743375499e-05,2.4313956238634505e-05,4.33279269223472e-05
7.0,6.0,none,postPairDistanceIncrease,30,0.0003406985038247955,0.00019347930431818562,0.0004972302712746197
7.0,6.0,none,postPairDistanceDeviation,30,0.00041700009171730356,0.0003009913676935866,0.0005463016941096989
7.0,6.0,none,meanPredictionError,30,nan,nan,nan
7.0,6.0,none,p90PredictionError,30,nan,nan,nan
7.0,6.0,none,recoveryTime,30,1.2,1.2,1.2
7.0,10.2,hold,eventGOLoss,30,0.0003154157715154676,-0.00042866383326500075,0.001074410567195417
7.0,10.2,hold,eventGODeviation,30,0.0017471412220747043,0.0013008724951909876,0.002238706679544095
7.0,10.2,hold,postGOLoss,30,0.0005503127481384392,-0.00037870954791461415,0.0015448424900532825
7.0,10.2,hold,postGODeviation,30,0.0023503967332752724,0.0017116604102634374,0.0030171222347443573
7.0,10.2,hold,eventPairDistanceIncrease,30,1.0432792368162133e-05,6.018843756864231e-06,1.534756786686631e-05
7.0,10.2,hold,eventPairDistanceDeviation,30,1.211593831432459e-05,8.450031365909773e-06,1.6548520776225866e-05
7.0,10.2,hold,postPairDistanceIncrease,30,0.00012240894440498934,7.704981862071874e-05,0.0001706413909813662
7.0,10.2,hold,postPairDistanceDeviation,30,0.00013634218624049865,9.782556839681568e-05,0.0001798915592213864
7.0,10.2,hold,meanPredictionError,30,0.060634385552254096,0.05172677484304165,0.06990872146742858
7.0,10.2,hold,p90PredictionError,30,0.1092804038739934,0.0905100350406324,0.13002694277583196
7.0,10.2,hold,recoveryTime,30,1.2,1.2,1.2
7.0,10.2,kalman,eventGOLoss,30,-8.896985197258502e-05,-0.0005518774194528135,0.0003577276121035791
