hiddenCount,T,mode,metric,n,mean,ci95
7,6,mean,eventGODeviation,30,0.000559827754067806,0.000204598079761037
7,6,mean,postGOLoss,30,0.000253997760452511,0.00111397425065181
7,6,mean,postGODeviation,30,0.0016640452290335,0.000968116391352235
7,6,mean,eventPairDistanceIncrease,30,9.38006036033945e-07,1.6526988807265e-06
7,6,mean,eventPairDistanceDeviation,30,2.49901100725818e-06,1.42706596937599e-06
7,6,mean,postPairDistanceIncrease,30,1.05135204562677e-05,2.38739731382933e-05
7,6,mean,postPairDistanceDeviation,30,4.20527702232722e-05,1.87586803120543e-05
7,6,mean,meanPredictionError,30,0.0354856236050601,0.00478542592717637
7,6,mean,p90PredictionError,30,0.0443851113083358,0.00177694069380722
7,6,mean,recoveryTime,30,1.2,0
7,6,kalman,eventGOLoss,30,3.94052047010992e-05,0.000269343341011204
7,6,kalman,eventGODeviation,30,0.000567383358491987,0.00020141351464453
7,6,kalman,postGOLoss,30,0.000237886157054883,0.00112874745041005
7,6,kalman,postGODeviation,30,0.00169916512477705,0.000977507811760535
7,6,kalman,eventPairDistanceIncrease,30,8.33690550716855e-07,1.65413541018578e-06
7,6,kalman,eventPairDistanceDeviation,30,2.51733651248478e-06,1.41687116920772e-06
7,6,kalman,postPairDistanceIncrease,30,8.42263092120611e-06,2.38292174296679e-05
7,6,kalman,postPairDistanceDeviation,30,4.3414058381148e-05,1.81278871744603e-05
7,6,kalman,meanPredictionError,30,0.0354855155845601,0.00478556197064409
7,6,kalman,p90PredictionError,30,0.0443856597135283,0.00177655384126044
7,6,kalman,recoveryTime,30,1.2,0
7,6,kalman-gm,eventGOLoss,30,-4.35140925139505e-05,0.000294758891755979
7,6,kalman-gm,eventGODeviation,30,0.00057485368509848,0.000236893936728914
7,6,kalman-gm,postGOLoss,30,-5.50878526691757e-06,0.000265929641475339
7,6,kalman-gm,postGODeviation,30,0.000638832970784213,0.000229429924327336
7,6,kalman-gm,eventPairDistanceIncrease,30,1.05482831959376e-06,1.52902857114303e-06
7,6,kalman-gm,eventPairDistanceDeviation,30,2.48541266525987e-06,1.29324666888041e-06
7,6,kalman-gm,postPairDistanceIncrease,30,1.51635224838606e-05,1.77958221983955e-05
7,6,kalman-gm,postPairDistanceDeviation,30,3.22420953360638e-05,1.44936927845538e-05
7,6,kalman-gm,meanPredictionError,30,0.0316489535303924,0.00565020831710078
7,6,kalman-gm,p90PredictionError,30,0.0319180767658005,0.00535862877825777
7,6,kalman-gm,recoveryTime,30,1.2,0
7,10.2,none,eventGOLoss,30,-3.73578004756739e-05,0.00284802592263128
7,10.2,none,eventGODeviation,30,0.00643418541877766,0.00168268032034724
7,10.2,none,postGOLoss,30,-0.0031308735722914,0.00589094197473319
