seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,eventGODeviation,postGOLoss,postGODeviation,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,eventPairDistanceDeviation,postPairDistanceIncrease,postPairDistanceDeviation,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
201,7,0.466666666666667,3,10,hold,0.255017339343908,9.57012156564685e-06,0.000247610003552309,0.0002272064684923,0.000323440242656424,0.999944609983537,0.171477931401742,-9.4845422748957e-08,1.59232847107837e-07,7.57766700878015e-06,7.77133982125977e-06,0.180477235773431,15,8,0.467216098194296,0.0200893556721714,0.0347891921265454,1400,1.2
202,7,0.466666666666667,3,10,hold,0.265746187490233,3.75652429101703e-05,0.000186935823597428,0.000247071916643014,0.000750409984267881,0.999857312276203,0.25863357095732,4.49020805443068e-07,4.49020805443068e-07,2.59218007467404e-05,2.59218007467404e-05,0.180477235773431,15,8,0.343811066220199,0.0332337867735182,0.0329877451081133,1400,1.2
203,7,0.466666666666667,3,10,hold,0.210691349248003,0.000240025778961014,0.000245182229967147,0.000291442860965861,0.000294068691334317,0.998902886159406,0.21486291795527,2.22039321384759e-07,2.23255189879534e-07,4.68722957091688e-06,4.68722957091688e-06,0.180477235773431,15,8,0.405814283943533,0.0146593856942284,0.0338436252583874,1400,1.2
204,7,0.466666666666667,3,10,hold,0.359495153802557,-0.00144804105447226,0.00146067434279331,-7.33027916311213e-05,0.000449466401496327,1.00645680487107,0.222869337300938,1.41894181814872e-06,1.42832160757722e-06,1.45536497553071e-05,1.45536497553071e-05,0.180477235773431,15,8,0.577417021765836,0.0322678386194876,0.0659984915647582,1400,1.2
205,7,0.466666666666667,3,10,hold,0.70015870254017,0.000403747115303255,0.000433073472990142,-0.000282738201214994,0.000427615825183063,0.999393553754023,0.662948881525099,3.8231986238535e-07,3.87705902188396e-07,2.25706898889144e-05,2.25706898889144e-05,0.180477235773431,15,8,0.464104486992623,0.0212780227264795,0.0318613956277909,1400,1.2
206,7,0.466666666666667,3,10,hold,0.704274218716452,0.000337666034232875,0.000345846028422481,0.000166267615052812,0.000266085931785637,0.999473270545108,0.63808125472824,3.98578344390499e-07,3.98588838296243e-07,1.7990748547359e-05,1.7990748547359e-05,0.180477235773431,15,8,0.438589171908813,0.0278591582699674,0.0438283029031048,1400,1.2
207,7,0.466666666666667,3,10,hold,0.38959595460555,-1.31736272957539e-05,2.53493531124749e-05,-5.13833307589751e-06,1.745259800573e-05,1.00003611189841,0.362728108635698,2.02169290752785e-08,2.05126606922512e-08,-2.2093082356317e-07,2.37565020927699e-07,0.180477235773431,15,8,0.434478187785686,0.0153504833142608,0.0372516504163714,1400,1.2
208,7,0.466666666666667,3,10,hold,0.521825513218961,-2.77810157902514e-05,0.000147625767075532,0.000619752442958536,0.00080753410215025,1.00005000241996,0.552856264293386,6.149916696091e-07,6.149916696091e-07,3.30655983504421e-05,3.30655983504421e-05,0.180477235773431,15,8,0.457248061485365,0.0182698102780997,0.0381714369308339,1400,1.2
209,7,0.466666666666667,3,10,hold,0.757883941146569,0.00190947389663415,0.00190947389663415,-0.00182809001227052,0.00243900914183907,0.997634382305065,0.803685801473826,6.39691933461695e-06,6.39691933461695e-06,9.10566125474849e-05,9.10566125474849e-05,0.180477235773431,15,8,0.551186911274851,0.0441634401953062,0.0513947361719813,1400,1.2
210,7,0.466666666666667,3,10,hold,0.698492318522336,3.11824463193555e-05,0.000473361336404288,-0.000214347009609578,0.00054240916710745,0.999951286382177,0.634911495756983,1.64195100177261e-06,1.64195100177261e-06,2.22191153088547e-05,2.22191153088547e-05,0.180477235773431,15,8,0.557476607083376,0.0234622411796465,0.048569461330962,1400,1.2
211,7,0.466666666666667,3,10,hold,0.256447192560495,0.000132545081535174,0.000205184800623759,9.81969114526748e-05,0.000139031841264899,0.999572176898065,0.306151307366552,1.23656212469569e-07,1.355176074469e-07,2.58545889777528e-06,2.58545889777528e-06,0.180477235773431,15,8,0.311663733780624,0.0289760228054641,0.0247927171314792,1400,1.2
212,7,0.466666666666667,3,10,hold,0.249945913385791,0.00018124119032773,0.000198493948445144,-2.58417789026244e-06,0.000128747884734207,0.999433477018697,0.314863335275774,7.21067585621182e-07,7.2181247664227e-07,6.19761781293276e-06,6.19761781293276e-06,0.180477235773431,15,8,0.518641510990392,0.0283602039640376,0.0301854134686002,1400,1.2
213,7,0.466666666666667,3,10,hold,0.674500413219376,-9.03705219545969e-07,2.07793311815196e-05,5.85457968785952e-06,6.91902667742439e-06,1.00000135060342,0.66863734751703,-6.03191565029526e-09,6.38053282986384e-09,1.04418181998134e-07,1.06367223186576e-07,0.180477235773431,15,8,0.380255559108386,0.0126587615334026,0.0229653935269061,1400,1.2
