hiddenCount,T,mode,metric,nSeeds,meanDifference,differenceCi95Low,differenceCi95High,meanRelativeReduction,relativeCi95Low,relativeCi95High
7,3.0,hold,eventGODeviation,30,-0.0018128433022461768,-0.0023763879132347177,-0.001282456072716507,0.8317659778271573,0.7280552104299878,0.8998469866785264
7,3.0,hold,postPairDistanceDeviation,30,-0.0001709066019464463,-0.00023295261252175763,-0.00011767110149603418,0.9125358787758693,0.8660868988353987,0.9469445797820688
7,3.0,hold,eventGOLoss,30,-2.5999345268646406e-05,-0.0008931472388666615,0.0008712185827087626,0.26703100103453253,-5.5254288327909755,1.5228896619639214
7,3.0,hold,postPairDistanceIncrease,30,-0.00010200762259496015,-0.00018166899833266665,-2.418043374303434e-05,0.895641274268985,0.6923992629051322,0.9649611117495512
7,3.0,hold,meanPredictionError_vs_hold,30,0.0,0.0,0.0,0.0,0.0,0.0
7,3.0,mean,eventGODeviation,30,-0.001890291683058359,-0.0024380640409389213,-0.0013990689289134202,0.8673007248830985,0.777248412267986,0.9265218261176092
7,3.0,mean,postPairDistanceDeviation,30,-0.00016804182255956984,-0.00023360030897196099,-0.00010958713093150341,0.8972397231825269,0.7993541229916172,0.9613243022681883
7,3.0,mean,eventGOLoss,30,-5.8197324315045284e-05,-0.0009467185855380218,0.0008611196589729602,0.5977261969023019,-3.9377062043142996,1.6817207641022254
7,3.0,mean,postPairDistanceIncrease,30,-9.877217340900944e-05,-0.00017523227263805717,-2.1659331199486043e-05,0.8672335753341349,0.5673565495973585,0.9777921292367889
7,3.0,kalman,eventGODeviation,30,-0.0018869910335633476,-0.002423283452198566,-0.0013849061402219566,0.8657863259544755,0.7746990215593592,0.9236100403164975
7,3.0,kalman,postPairDistanceDeviation,30,-0.00016869675835992,-0.00023119641953929661,-0.00011096439190277624,0.9007366765436474,0.8041773950214931,0.9626419572896686
7,3.0,kalman,eventGOLoss,30,-5.866796879583426e-05,-0.0009426292365632342,0.0008756856803341897,0.6025600365831809,-3.8110548286452315,1.8898817670314174
7,3.0,kalman,postPairDistanceIncrease,30,-9.956361049393108e-05,-0.00017764249361711159,-2.248303404153649e-05,0.874182504259354,0.5753318165420939,0.9796688791683168
7,3.0,kalman,meanPredictionError_vs_hold,30,-2.8865111148403065e-05,-0.0033084568093837297,0.0035578343600487475,0.0012379585277038007,-0.15146509767298122,0.13970632731726132
7,3.0,kalman-gm,eventGODeviation,30,-0.0018822222899257232,-0.00245108658236668,-0.001357094720752876,0.8635983383276128,0.7618635795165035,0.9343558218165807
7,3.0,kalman-gm,postPairDistanceDeviation,30,-0.00017337311377505534,-0.00023586467447680068,-0.00011860344250973795,0.9257055311672739,0.8759327267319015,0.9625033392651136
7,3.0,kalman-gm,eventGOLoss,30,-0.0001293899216293781,-0.0010105784533489441,0.0008261291849064219,1.328922707070591,-2.1565977395594533,3.8371619881413475
7,3.0,kalman-gm,postPairDistanceIncrease,30,-0.00010816130807058313,-0.00018507190733893587,-3.0072224325799923e-05,0.9496714982917711,0.8365058522276789,1.0310480699498055
7,3.0,kalman-gm,meanPredictionError_vs_hold,30,-0.0030811846499290527,-0.005655564086485122,-0.00041488050783701215,0.13214495496652112,0.013211195155054974,0.24088204831870694
7,6.0,hold,eventGODeviation,30,-0.003131935986005628,-0.004252069449571464,-0.0021216166061472238,0.7812179878618749,0.6755383976217461,0.855113864278806
7,6.0,hold,postPairDistanceDeviation,30,-0.00036738594456918797,-0.0004911219089492402,-0.00025821028936530763,0.881021256029482,0.8379163571959172,0.9132040152342812
7,6.0,hold,eventGOLoss,30,0.00021588156608949737,-0.0015043516487203523,0.001967984990162302,-13.591557125667569,-8.00117700748083,1.164515667211549
7,6.0,hold,postPairDistanceIncrease,30,-0.0002997128200846979,-0.00044769773255370703,-0.00016244325395153324,0.8797010163532315,0.7987107047065736,0.9311489594626986
7,6.0,hold,meanPredictionError_vs_hold,30,0.0,0.0,0.0,0.0,0.0,0.0
7,6.0,mean,eventGODeviation,30,-0.003449214580681119,-0.004547947235794498,-0.002444804258747853,0.8603587322549774,0.7805475622593605,0.9133928878360793
7,6.0,mean,postPairDistanceDeviation,30,-0.0003749473214940314,-0.0005068341921554045,-0.00026037139550685683,0.8991540504221736,0.8408553730894205,0.942563098756891
7,6.0,mean,eventGOLoss,30,2.137663287032728e-05,-0.001704734744379002,0.001819593824115142,-1.3458385172684306,-3.1543048269577785,1.8347639420157027
7,6.0,mean,postPairDistanceIncrease,30,-0.00033018498336852774,-0.0004870527558963138,-0.00018895079807277647,0.9691412778798867,0.8927768788293994,1.03987488587239
