seed,mode,T,durationSteps,fullGO,eventGOLoss,postGOLoss,fullPairDistanceNorm,eventPairDistanceIncrease,postPairDistanceIncrease,fullInputMass,eventInputMassDifference,eventFreshNeighbors,checkpointGO
136,control,0,0,0.565404014015672,0,0,0.0751385487601822,0,0,0.180477235773431,0,NaN,0.363512475801057
136,none,3,10,0.562375460719162,0.00537944958296979,0.00244479217406294,0.0763190141025776,3.18057053211376e-05,0.000584545407549089,0.179073523939638,-0.0842227100276012,8,0.363512475801057
136,hold,3,10,0.565348814018044,0.000269422412283093,-0.000119851111687396,0.0751716506071934,1.06994102841013e-06,1.34891114528529e-05,0.180477235773431,5.55111512312578e-18,8,0.363512475801057
136,none,10.2,34,0.539004076055278,0.00594325197070226,-0.00394396893216094,0.077274988134474,0.000342053343217438,0.00221167324220871,0.175704615538534,-0.0842227100276012,8,0.363512475801057
136,hold,10.2,34,0.566214874943999,0.00069874406927292,-0.000193086030711093,0.0752170071735272,1.88335779545237e-05,0.00015200088339506,0.180477235773431,-8.16340459283203e-19,8,0.363512475801057
136,none,30,100,0.517893674623833,2.47466392762163e-05,-0.000419695386509129,0.0790457001937009,0.0023714648003145,0.00956535919957247,0.166440117435498,-0.0842227100276012,8,0.363512475801057
136,hold,30,100,0.555009849554401,0.00906939913252856,-0.00935933289554573,0.0762226598487498,0.000339946526487233,0.00477879634116549,0.180477235773431,-4.44089209850063e-18,8,0.363512475801057
137,control,0,0,0.581767701800415,0,0,0.184314970609309,0,0,0.180477235773431,0,NaN,0.337337260476414
137,none,3,10,0.581376485135329,-0.00298156745113086,-0.0046808759651986,0.184132813291785,2.68128886168617e-06,-1.98773405733066e-05,0.179073523939638,-0.0842227100276012,8,0.337337260476414
137,hold,3,10,0.581831663946646,-0.00021040878355606,2.30743628150565e-05,0.184321635121239,-2.91453652240259e-07,6.24196112954362e-06,0.180477235773431,0,8,0.337337260476414
137,none,10.2,34,0.581391793122228,-0.00199591892903594,-0.0040474846878403,0.185093172593745,7.32426511769591e-05,0.00129191382462775,0.175704615538534,-0.0842227100276012,8,0.337337260476414
137,hold,10.2,34,0.581939966603241,0.00251359660825004,0.00524900731624644,0.184910519118961,7.17922924653855e-06,0.000429230976962388,0.180477235773431,2.44902137784961e-18,8,0.337337260476414
137,none,30,100,0.58524808914335,0.0056815132256239,-0.0167120343769473,0.190369451295394,0.00154623490196398,0.0105618711953415,0.166440117435498,-0.0842227100276012,8,0.337337260476414
137,hold,30,100,0.578393036955637,0.0293524933137887,0.0206597411519667,0.188670236741357,0.000482543724034644,0.00595732388551854,0.180477235773431,5.55111512312578e-19,8,0.337337260476414
