seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,postGOLoss,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,postPairDistanceIncrease,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
201,7,0.466666666666667,3,10,hold,0.255017339343908,9.57012156564685e-06,0.0002272064684923,0.999944609983537,0.171477931401742,-9.4845422748957e-08,7.57766700878015e-06,0.180477235773431,15,8,0.467216098194296,0.0200893556721714,0.0347891921265454,1400,1.2
202,7,0.466666666666667,3,10,hold,0.265746187490233,3.75652429101703e-05,0.000247071916643014,0.999857312276203,0.25863357095732,4.49020805443068e-07,2.59218007467404e-05,0.180477235773431,15,8,0.343811066220199,0.0332337867735182,0.0329877451081133,1400,1.2
201,7,0.466666666666667,3,10,kalman,0.255017339343908,-2.19841413144545e-05,0.000116828998067974,1.0001272399667,0.172131918484698,-1.8150461955635e-08,-5.54829567848386e-06,0.180477235773431,15,8,0.465423738777597,0.0165118110501282,0.0273095631487945,1400,1.2
202,7,0.466666666666667,3,10,kalman,0.265746187490233,-0.000162017830304007,-0.00203570236644437,1.00061540811744,0.258743575930781,-9.83521948105803e-08,6.37899689364918e-05,0.180477235773431,15,8,0.33910070748386,0.0436273023947587,0.0244606819179891,1400,1.2
201,7,0.466666666666667,3,10,kalman-gm,0.255017339343908,-4.03132499407488e-06,-2.34411487480352e-05,1.00002333253097,0.172130612806692,-2.45663289155651e-09,1.20918727914199e-06,0.180477235773431,15,8,0.466277089603657,0.00833856941827246,0.0160757533301576,1400,1.2
202,7,0.466666666666667,3,10,kalman-gm,0.265746187490233,-4.18367860967606e-06,-0.001775012437352,1.00001589127427,0.258725714533903,3.26777265818867e-07,5.44163010243953e-05,0.180477235773431,15,8,0.341276209992043,0.0335045137664673,0.0166180428463123,1400,1.2
201,7,0.466666666666667,3,10,mean,0.255017339343908,-1.48642631530638e-05,9.78134050654938e-05,1.00008603148613,0.17213192622437,-1.16088050894358e-08,-4.53628167777581e-06,0.180477235773431,15,8,0.465506604881018,0.0165118179537109,0.0273095660671583,1400,1.2
202,7,0.466666666666667,3,10,mean,0.265746187490233,-0.000163333506893648,-0.0020344752791388,1.00062040558008,0.25874746475442,-9.46269642587705e-08,6.46390608733688e-05,0.180477235773431,15,8,0.339154399942107,0.0436272781064315,0.0244606821688569,1400,1.2
201,7,0.466666666666667,3,10,none,0.255017339343908,0.00042909231298579,0.00881892254737408,0.997516496512856,0.170085481615982,-8.10867899689316e-06,-0.000155102506120003,0.09625452574583,8,8,0.498041880801772,NaN,NaN,0,1.2
202,7,0.466666666666667,3,10,none,0.265746187490233,0.00328963492897915,5.68990334443759e-05,0.987504658993887,0.258472539132861,4.63074706576472e-06,0.000119273443177774,0.09625452574583,8,8,0.399172501824992,NaN,NaN,0,1.2
201,7,0.466666666666667,10.2,34,hold,0.255017339343908,-0.00206475096833594,0.000145426132093883,1.01194016847231,0.171477931401742,1.74530513470596e-05,0.000157944339440904,0.180477235773431,15,8,0.467049563144112,0.053057809820162,0.0976335771692272,4760,1.2
202,7,0.466666666666667,10.2,34,hold,0.265746187490233,0.00128186957326288,0.00416032865727891,0.995142762264521,0.25863357095732,1.33666269502564e-05,0.00013029268877565,0.180477235773431,15,8,0.340951558512758,0.0663132914395931,0.0958901727669666,4760,1.2
201,7,0.466666666666667,10.2,34,kalman,0.255017339343908,0.00189664849808203,0.0228329116601163,0.989031944797634,0.166002348196516,-7.72599974825405e-06,-0.00014689755383732,0.180477235773431,15,8,0.46506255631198,0.0524372687271607,0.0731031354464173,4760,1.2
202,7,0.466666666666667,10.2,34,kalman,0.265746187490233,-0.000289107736112071,0.00681208666022088,1.00109548197005,0.258743575930781,1.75537255103497e-05,0.000249838387745451,0.180477235773431,15,8,0.333403077574376,0.0736533014905562,0.0631226040307766,4760,1.2
201,7,0.466666666666667,10.2,34,kalman-gm,0.255017339343908,1.53958378832299e-06,0.0111888299656702,0.99999109680049,0.169927362146126,5.10737814819179e-06,3.28216328255104e-05,0.180477235773431,15,8,0.464947576611321,0.0302602294542643,0.0466060050117143,4760,1.2
202,7,0.466666666666667,10.2,34,kalman-gm,0.265746187490233,-0.00184401455825879,-0.000324159095995058,1.00698730766684,0.258725714533903,1.79229902447917e-05,0.000272435827408123,0.180477235773431,15,8,0.337306408424873,0.0613877121873753,0.0547490759415208,4760,1.2
201,7,0.466666666666667,10.2,34,mean,0.255017339343908,0.00151617937597978,0.0166574787577973,0.991232144960307,0.167427250973005,-5.83898267551841e-06,-6.41273091877143e-06,0.180477235773431,15,8,0.466478140770974,0.0524443577661384,0.0731031305569578,4760,1.2
202,7,0.466666666666667,10.2,34,mean,0.265746187490233,-0.0012018438735679,0.00303720273943595,1.00455400575582,0.25874746475442,2.15077634656704e-05,0.00034249077357889,0.180477235773431,15,8,0.334267474362096,0.0736553110452561,0.0631221710911414,4760,1.2
201,7,0.466666666666667,10.2,34,none,0.255017339343908,0.00665436452127017,0.01915426821447,0.961518732922961,0.157896805069272,-9.63109241910682e-06,-0.000110488012122423,0.09625452574583,8,8,0.500996823760044,NaN,NaN,0,1.2
202,7,0.466666666666667,10.2,34,none,0.265746187490233,0.00875949091965552,0.0134100878624614,0.966808690426877,0.248989015735747,7.57829287388715e-05,0.00073417450277769,0.09625452574583,8,8,0.396096261351353,NaN,NaN,0,1.2
201,11,0.733333333333333,3,10,hold,0.255017339343908,3.33187548442332e-05,0.000240341191037343,0.999807157477916,0.171470545704654,-7.42581244217444e-08,7.81729230998313e-06,0.180477235773431,15,4,0.467662588879982,0.0196800189034286,0.0340385403063372,2200,1.2
202,11,0.733333333333333,3,10,hold,0.265746187490233,6.49839908794525e-06,-4.8420659512276e-05,0.999975316497316,0.25867572035931,7.54002297576051e-07,4.14671292072005e-05,0.180477235773431,15,4,0.344294020185515,0.0282055178444583,0.0352611143539665,2200,1.2
201,11,0.733333333333333,3,10,kalman,0.255017339343908,-1.61364850057605e-05,0.000941741329766367,1.00009339486066,0.172131687151444,-1.34479877622606e-08,-2.42015724978437e-05,0.180477235773431,15,4,0.465971787445407,0.0156119521644727,0.026504055171487,2200,1.2
202,11,0.733333333333333,3,10,kalman,0.265746187490233,-0.000130768126142644,-0.00202514556673223,1.00049670932008,0.258862366771544,2.94159479441447e-08,6.49851468107093e-05,0.180477235773431,15,4,0.338819276285518,0.0333707964420169,0.0261066236752143,2200,1.2
201,11,0.733333333333333,3,10,kalman-gm,0.255017339343908,-3.40325611956904e-06,6.98374194695617e-05,1.00001969738955,0.172130629929312,-2.53313197084992e-09,3.50841022664916e-07,0.180477235773431,15,4,0.466871187804703,0.00903985005304345,0.0165177310363918,2200,1.2
202,11,0.733333333333333,3,10,kalman-gm,0.265746187490233,-6.23703500232553e-05,-0.0018547445496319,1.00023690738001,0.258850414124259,5.44909732308474e-07,6.08998524361154e-05,0.180477235773431,15,4,0.3395783085122,0.0312147091742877,0.0194324341197989,2200,1.2
