seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,postGOLoss,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,postPairDistanceIncrease,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
202,7,0.466666666666667,3,10,none,0.265746187490233,0.00328963492897915,5.68990334443759e-05,0.987504658993887,0.258472539132861,4.63074706576472e-06,0.000119273443177774,0.09625452574583,8,8,0.399172501824992,NaN,NaN,0,1.2
202,7,0.466666666666667,3,10,hold,0.265746187490233,3.75652429101703e-05,0.000247071916643014,0.999857312276203,0.25863357095732,4.49020805443068e-07,2.59218007467404e-05,0.180477235773431,15,8,0.343811066220199,0.0332337867735182,0.0329877451081133,1400,1.2
202,7,0.466666666666667,3,10,mean,0.265746187490233,-0.000163333506893648,-0.0020344752791388,1.00062040558008,0.25874746475442,-9.46269642587705e-08,6.46390608733688e-05,0.180477235773431,15,8,0.339154399942107,0.0436272781064315,0.0244606821688569,1400,1.2
202,7,0.466666666666667,3,10,kalman,0.265746187490233,-0.000162017830304007,-0.00203570236644437,1.00061540811744,0.258743575930781,-9.83521948105803e-08,6.37899689364918e-05,0.180477235773431,15,8,0.33910070748386,0.0436273023947587,0.0244606819179891,1400,1.2
202,7,0.466666666666667,3,10,kalman-gm,0.265746187490233,-4.18367860967606e-06,-0.001775012437352,1.00001589127427,0.258725714533903,3.26777265818867e-07,5.44163010243953e-05,0.180477235773431,15,8,0.341276209992043,0.0335045137664673,0.0166180428463123,1400,1.2
202,7,0.466666666666667,10.2,34,none,0.265746187490233,0.00875949091965552,0.0134100878624614,0.966808690426877,0.248989015735747,7.57829287388715e-05,0.00073417450277769,0.09625452574583,8,8,0.396096261351353,NaN,NaN,0,1.2
202,7,0.466666666666667,10.2,34,hold,0.265746187490233,0.00128186957326288,0.00416032865727891,0.995142762264521,0.25863357095732,1.33666269502564e-05,0.00013029268877565,0.180477235773431,15,8,0.340951558512758,0.0663132914395931,0.0958901727669666,4760,1.2
202,7,0.466666666666667,10.2,34,mean,0.265746187490233,-0.0012018438735679,0.00303720273943595,1.00455400575582,0.25874746475442,2.15077634656704e-05,0.00034249077357889,0.180477235773431,15,8,0.334267474362096,0.0736553110452561,0.0631221710911414,4760,1.2
202,7,0.466666666666667,10.2,34,kalman,0.265746187490233,-0.000289107736112071,0.00681208666022088,1.00109548197005,0.258743575930781,1.75537255103497e-05,0.000249838387745451,0.180477235773431,15,8,0.333403077574376,0.0736533014905562,0.0631226040307766,4760,1.2
202,7,0.466666666666667,10.2,34,kalman-gm,0.265746187490233,-0.00184401455825879,-0.000324159095995058,1.00698730766684,0.258725714533903,1.79229902447917e-05,0.000272435827408123,0.180477235773431,15,8,0.337306408424873,0.0613877121873753,0.0547490759415208,4760,1.2
202,11,0.733333333333333,3,10,none,0.265746187490233,0.00277797475885794,-0.000986947375947149,0.989448147691854,0.258109907879039,3.38679201056236e-06,9.69794539926522e-05,0.048127262872915,4,4,0.472503329081157,NaN,NaN,0,1.2
202,11,0.733333333333333,3,10,hold,0.265746187490233,6.49839908794525e-06,-4.8420659512276e-05,0.999975316497316,0.25867572035931,7.54002297576051e-07,4.14671292072005e-05,0.180477235773431,15,4,0.344294020185515,0.0282055178444583,0.0352611143539665,2200,1.2
202,11,0.733333333333333,3,10,mean,0.265746187490233,-0.000135375127463716,-0.00204030080886346,1.00051420854226,0.258867349515969,3.53364096372655e-08,6.63936815007432e-05,0.180477235773431,15,4,0.338911577362639,0.0333707895551423,0.0261067534496724,2200,1.2
202,11,0.733333333333333,3,10,kalman,0.265746187490233,-0.000130768126142644,-0.00202514556673223,1.00049670932008,0.258862366771544,2.94159479441447e-08,6.49851468107093e-05,0.180477235773431,15,4,0.338819276285518,0.0333707964420169,0.0261066236752143,2200,1.2
202,11,0.733333333333333,3,10,kalman-gm,0.265746187490233,-6.23703500232553e-05,-0.0018547445496319,1.00023690738001,0.258850414124259,5.44909732308474e-07,6.08998524361154e-05,0.180477235773431,15,4,0.3395783085122,0.0312147091742877,0.0194324341197989,2200,1.2
202,11,0.733333333333333,10.2,34,none,0.265746187490233,0.00776085808419665,0.00386099297722009,0.970592692476268,0.251445178270559,9.22562724188062e-05,0.000986711635288346,0.048127262872915,4,4,0.464954488875508,NaN,NaN,0,1.2
202,11,0.733333333333333,10.2,34,hold,0.265746187490233,0.00126509265362557,0.00393630698633887,0.995206333074569,0.25867572035931,1.67768430174053e-05,0.00016888266179957,0.180477235773431,15,4,0.341589971856576,0.0601716282818056,0.0968401390138713,7480,1.2
202,11,0.733333333333333,10.2,34,mean,0.265746187490233,0.0001925926986685,0.00470227578071805,0.999270231119404,0.258867349515969,1.83217872219095e-05,0.000284759518006987,0.180477235773431,15,4,0.332891461514472,0.0641389449327176,0.0676953008800352,7480,1.2
202,11,0.733333333333333,10.2,34,kalman,0.265746187490233,0.00122463312975333,0.00872321832282438,0.99535964159379,0.256060835906666,1.54394048533627e-05,0.000203631284217277,0.180477235773431,15,4,0.331348680555841,0.0641389507051584,0.06764695317354,7480,1.2
202,11,0.733333333333333,10.2,34,kalman-gm,0.265746187490233,-0.00264191505819669,-0.00828818671744093,1.01001069826624,0.258850414124259,2.55450743161457e-05,0.000424999328480633,0.180477235773431,15,4,0.332664078188085,0.0609878918874034,0.0589837037344818,7480,1.2
