seed,hiddenCount,hiddenFraction,T,mode,eventGORelativeDeviation,postGORelativeDeviation,eventLORelativeDeviation,postPairRelativeDeviation,eventPairRelativeDeviation,eventInputMassRelativeDeviation,eventTurnTrackingError,postTurnTrackingError,eventFollowerLeaderError,controlEventGO,treatmentEventGO,controlPostPair,treatmentPostPair,eventGOLoss,postPairIncrease,eventActiveNeighbors,eventFreshNeighbors,meanPredictionError,p90PredictionError,recoveryTime,turnAngle
227,7,0.466666666666667,3,none,0.00147455493043752,0.0275059600851824,0.00645732270371682,0.00340949050173248,4.1236070984947e-05,0.466666666666666,0.160936927093936,0.15258241005926,2.06832662311991,0.308218127530065,0.30855025771799,0.240225951759146,0.241044999859939,-0.000332130187925816,0.000819048100792452,8,8,NaN,NaN,1.2,0.075
227,7,0.466666666666667,3,hold,0.000550954433978823,0.00113229265180804,0.000572330033184397,0.000112561145092822,7.15062164477288e-06,1.0765292834677e-16,0.100632955308036,0.235992476547077,2.06437080555088,0.308218127530065,0.308251248416276,0.240225951759146,0.240252991867357,-3.31208862111465e-05,2.70401082110225e-05,15,8,0.0285659170668736,0.0256525197512738,1.2,0.075
227,7,0.466666666666667,3,mean,0.00196877431566252,0.00250700047440645,0.000546890757235762,0.000199785898829244,4.58844765844637e-06,6.15159590552969e-17,0.129767151167752,0.218415936491546,2.06520857544994,0.308218127530065,0.307692670114059,0.240225951759146,0.240177958001452,0.000525457416005376,-4.79937576943115e-05,15,8,0.0552265118170665,0.0265552931193134,1.2,0.075
227,7,0.466666666666667,3,kalman,0.0019853883773907,0.00250819007966942,0.000536183441059742,0.000199560361211979,4.61947859295599e-06,9.22739385829454e-17,0.129749032518981,0.21841393712251,2.06520470325513,0.308218127530065,0.307687967563932,0.240225951759146,0.240178012181441,0.00053015996613226,-4.79395777055466e-05,15,8,0.0552264335411691,0.0265539974349187,1.2,0.075
227,7,0.466666666666667,3,kalman-gm,0.00102747751317552,0.0033746622928069,0.000548826744619688,0.000445809471036733,7.11318017643775e-06,1.53789897638242e-17,0.122647104022461,0.218710845724628,2.06382156978104,0.308218127530065,0.30802828099572,0.240225951759146,0.240118856754663,0.00018984653434449,-0.000107095004483041,15,8,0.0518876065986418,0.0161599288638665,1.2,0.075
227,7,0.466666666666667,6,none,0.00541169579103733,0.0346909555591418,0.0122438235624667,0.005300039347441,0.000145518605439833,0.466666666666666,0.145070125726576,0.172806875865355,2.07031828340165,0.309340399244484,0.308059650481657,0.238297491646893,0.239560477729018,0.00128074876282643,0.00126298608212503,8,8,NaN,NaN,1.2,0.15
227,7,0.466666666666667,6,hold,0.0013888821562775,0.00221090546108107,0.000493262443528236,0.000375836750088218,1.49108087719681e-05,7.68949488191212e-17,0.0641169874603496,0.287906305652642,2.06708772862902,0.309340399244484,0.309082656007682,0.238297491646893,0.238387052601708,0.000257743236801516,8.95609548147425e-05,15,8,0.0393600672201038,0.043943504548781,1.2,0.15
227,7,0.466666666666667,6,mean,0.00291419590336985,0.00331077288196506,0.000824105037601237,0.000341793389253368,2.35368449443225e-05,5.38264641733848e-17,0.11413209927466,0.263256179278775,2.06876333497244,0.309340399244484,0.308479597978807,0.238297491646893,0.238216043139572,0.000860801265676364,-8.14485073205676e-05,15,8,0.0777892317029902,0.0440621759269426,1.2,0.15
227,7,0.466666666666667,6,kalman,0.00291045174482087,0.00858735156338013,0.000818886879252564,0.000526621619842474,2.35389013458408e-05,7.68949488191212e-17,0.114052407023391,0.263458116225871,2.06875949179939,0.309340399244484,0.308480965300743,0.238297491646893,0.238171999035837,0.000859433943741164,-0.000125492611055485,15,8,0.0777890988017086,0.0440621758440987,1.2,0.15
227,7,0.466666666666667,6,kalman-gm,0.00211965481344438,0.00377361333291348,0.000745238451513016,0.000506954399860841,3.96771177637644e-05,3.84474744095606e-17,0.110736762685347,0.263548973017463,2.06634316590253,0.309340399244484,0.308748124708655,0.238297491646893,0.238176685685027,0.000592274535828519,-0.000120805961866194,15,8,0.0667892374844146,0.0253332016525336,1.2,0.15
227,7,0.466666666666667,10.2,none,0.0185877785555772,0.044449535392921,0.0203325416671469,0.00982973799737527,0.000421628763189893,0.466666666666666,0.102159875238932,0.222315732817567,2.07105632117621,0.312902662733254,0.307317854607602,0.235418595642728,0.237732698757607,0.00558480812565223,0.00231410311487805,8,8,NaN,NaN,1.2,0.255
227,7,0.466666666666667,10.2,hold,0.00329869258918262,0.00387275510426681,0.00102158807889043,0.000913453493956591,4.14669138319479e-05,8.14181811025988e-17,0.0639244209675714,0.364343242398079,2.07117376167287,0.312902662733254,0.311971607229104,0.235418595642728,0.235633639581461,0.000931055504149633,0.000215043938732204,15,8,0.0551787585972495,0.0724842375601602,1.2,0.255
227,7,0.466666666666667,10.2,mean,0.00329229876618388,0.0116722615180525,0.00147179070902575,0.000542448322632899,6.87648599862812e-05,5.88020196852102e-17,0.0782272432896109,0.345051746298453,2.07601567514345,0.312902662733254,0.312730054688259,0.235418595642728,0.235290893220406,0.000172608044995092,-0.000127702422322991,15,8,0.0850859673848821,0.0705353849707187,1.2,0.255
227,7,0.466666666666667,10.2,kalman,0.00335593250711903,0.0121801888491868,0.00154610612608748,0.000625993883497019,7.15809553738683e-05,5.88020196852102e-17,0.0781773783523629,0.345056803189976,2.0759121474275,0.312902662733254,0.312663363471849,0.235418595642728,0.235271225041795,0.000239299261404604,-0.000147370600933806,15,8,0.0850857807315196,0.070535716274039,1.2,0.255
227,7,0.466666666666667,10.2,kalman-gm,0.0025855825292927,0.00446847371980051,0.0014064746007959,0.00048298275211452,9.57705615536053e-05,4.97555551182548e-17,0.076252969051742,0.345189166144936,2.07249614589659,0.312902662733254,0.312130933151841,0.235418595642728,0.235304892521506,0.000771729581412939,-0.00011370312122246,15,8,0.0739062583913535,0.042818840181754,1.2,0.255
