seed,hiddenCount,hiddenFraction,T,mode,eventGORelativeDeviation,postGORelativeDeviation,eventLORelativeDeviation,postPairRelativeDeviation,eventPairRelativeDeviation,eventInputMassRelativeDeviation,eventTurnTrackingError,postTurnTrackingError,eventFollowerLeaderError,controlEventGO,treatmentEventGO,controlPostPair,treatmentPostPair,eventGOLoss,postPairIncrease,eventActiveNeighbors,eventFreshNeighbors,meanPredictionError,p90PredictionError,recoveryTime,turnAngle
215,7,0.466666666666667,3,none,0.00167554322585403,0.00534727735572573,0.00191783331686328,0.000243237178897402,9.98301865196163e-06,0.466666666666666,0.345401414091708,0.790476270578742,0.798967982269127,0.671851603400335,0.671075995668637,0.265000055317202,0.264936630435391,0.000775607731697991,-6.34248818112598e-05,8,8,NaN,NaN,1.2,0.075
215,7,0.466666666666667,3,hold,3.62228903939273e-06,2.57915680437898e-06,6.11409197570559e-06,6.14237022787399e-07,3.93371463277529e-08,4.61369692914727e-17,0.367674556268778,0.814410778647336,0.803443631752083,0.671851603400335,0.671849169759636,0.265000055317202,0.264999892544357,2.43364069909546e-06,-1.62772845016534e-07,15,8,0.0148821670291191,0.0266761434129261,1.2,0.075
215,7,0.466666666666667,3,mean,1.35390075634635e-06,1.7450125809235e-06,3.13331743057093e-06,6.68816360086847e-07,1.47302963766286e-08,4.61369692914727e-17,0.36745122064304,0.814330075548314,0.803424813125589,0.671851603400335,0.671851221346785,0.265000055317202,0.265000232553575,3.82053550496142e-07,1.77236372420064e-07,15,8,0.0127162453395991,0.0268664946353823,1.2,0.075
215,7,0.466666666666667,3,kalman,1.42983435894307e-06,1.89995001388619e-06,3.36325268546743e-06,7.07850140972085e-07,1.49128513166946e-08,1.53789897638242e-17,0.367448751322517,0.814326418194514,0.803424513473826,0.671851603400335,0.671851150130748,0.265000055317202,0.265000242897529,4.53269587041838e-07,1.87580326513892e-07,15,8,0.0127162449872994,0.0268664946353823,1.2,0.075
215,7,0.466666666666667,3,kalman-gm,6.31014539900928e-07,2.41173105619811e-07,1.05241186315434e-06,6.03677901237996e-08,2.39121458897628e-09,3.07579795276485e-17,0.367494159960862,0.814360577528895,0.803431249354557,0.671851603400335,0.671851179452205,0.265000055317202,0.26500007131467,4.23948130401364e-07,1.59974677221841e-08,15,8,0.00809128322701151,0.0153179527689691,1.2,0.075
215,7,0.466666666666667,6,none,0.0024752453899163,0.00635863591795101,0.00204358303497716,0.000112123137782597,2.52591456666134e-05,0.466666666666666,0.382895821520466,0.8453602834863,0.79583013325561,0.671400880245596,0.672112100111932,0.264174674618106,0.264149011979402,-0.00071121986633636,-2.5662638703694e-05,8,8,NaN,NaN,1.2,0.15
215,7,0.466666666666667,6,hold,1.84291161707706e-05,1.39417271309597e-05,1.28442591498909e-05,1.59605558717031e-06,2.12540063822059e-07,4.61369692914727e-17,0.419725357467863,0.880799017252636,0.80381634293755,0.671400880245596,0.671391062131719,0.264174674618106,0.264174958351356,9.81811387675835e-06,2.83733250232565e-07,15,8,0.0219204268844898,0.0387734132517927,1.2,0.15
215,7,0.466666666666667,6,mean,9.96233814622305e-06,8.75252078837196e-06,1.53981522906965e-05,3.42380870624527e-06,1.43072502750626e-07,4.61369692914727e-17,0.418930414499089,0.880652997881201,0.80376554708761,0.671400880245596,0.671403305931985,0.264174674618106,0.264175579101657,-2.4256863895733e-06,9.04483550926982e-07,15,8,0.0200996638424513,0.0432741317123231,1.2,0.15
215,7,0.466666666666667,6,kalman,1.07001258757636e-05,1.04701148745893e-05,2.00439556291776e-05,3.1383398702591e-06,1.32927058701254e-07,1.53789897638242e-17,0.418924442868097,0.880652874945678,0.803767318784559,0.671400880245596,0.67140026335942,0.264174674618106,0.26417550368802,6.16886176035836e-07,8.29069914066727e-07,15,8,0.0200995290385759,0.0432742619682811,1.2,0.15
215,7,0.466666666666667,6,kalman-gm,4.56214692454305e-06,6.9032899155163e-06,4.06740144169711e-06,2.19255075173941e-07,1.67219520994197e-08,2.30684846457363e-17,0.419284858710718,0.880752085142138,0.803780131325955,0.671400880245596,0.6713978457277,0.264174674618106,0.26417461887593,3.03451789616105e-06,-5.57421759228571e-08,15,8,0.0125308951643505,0.0231466791394119,1.2,0.15
