seed,hiddenCount,hiddenFraction,T,mode,eventGORelativeDeviation,postGORelativeDeviation,eventLORelativeDeviation,postPairRelativeDeviation,eventPairRelativeDeviation,eventInputMassRelativeDeviation,eventTurnTrackingError,postTurnTrackingError,eventFollowerLeaderError,controlEventGO,treatmentEventGO,controlPostPair,treatmentPostPair,eventGOLoss,postPairIncrease,eventActiveNeighbors,eventFreshNeighbors,meanPredictionError,p90PredictionError,recoveryTime,turnAngle
224,7,0.466666666666667,3,none,0.00141651773003418,0.00193582658979112,0.000995881664760219,0.000481911692451387,2.86764829604962e-05,0.466666666666666,0.0142850337656463,0.37274975530364,0.599183187604268,0.760689061416779,0.759903400502574,0.244656261056251,0.244538358343417,0.000785660914205,-0.000117902712834446,8,8,NaN,NaN,1.2,0.075
224,7,0.466666666666667,3,hold,5.61531232902603e-05,6.2953572743232e-05,5.41979881280425e-05,1.49680884186754e-05,4.81008400789151e-07,1.53789897638242e-17,0.0187234081897225,0.393878792791179,0.596093457824364,0.760689061416779,0.760652955937151,0.244656261056251,0.244659923092799,3.61054796280791e-05,3.6620365476725e-06,15,8,0.0104098149498403,0.0228399493371851,1.2,0.075
224,7,0.466666666666667,3,mean,2.36565767475411e-05,1.22475081727582e-05,2.2758102318334e-05,4.02448584086673e-07,5.18171246360335e-07,1.53789897638242e-17,0.0187231106271654,0.393877022056419,0.595983845033831,0.760689061416779,0.760705594531798,0.244656261056251,0.244656284398502,-1.65331150183468e-05,2.33422510670378e-08,15,8,0.00935958871353809,0.021191218839947,1.2,0.075
224,7,0.466666666666667,3,kalman,2.42270719774087e-05,1.35438801241301e-05,2.29529692877075e-05,7.8104638647892e-07,5.08536726227407e-07,4.61369692914727e-17,0.0187235607088111,0.393879050456631,0.595981055357344,0.760689061416779,0.760705441154808,0.244656261056251,0.244656451748633,-1.63797380287267e-05,1.90692382071034e-07,15,8,0.00935957675521723,0.0211912445792484,1.2,0.075
224,7,0.466666666666667,3,kalman-gm,3.66919918409674e-05,3.0089395164621e-05,3.48305336659728e-05,6.00732608291181e-06,5.93680116362042e-07,3.07579795276485e-17,0.0187227794996497,0.393875678300241,0.595967560359845,0.760689061416779,0.760714357480514,0.244656261056251,0.244657730786189,-2.52960637343036e-05,1.4697299383909e-06,15,8,0.00605638990268229,0.0127310520940904,1.2,0.075
224,7,0.466666666666667,6,none,0.00392816364860722,0.00417726289730979,0.00244804467193663,0.000744699291734368,5.85985821050688e-05,0.466666666666666,0.0373173266680337,0.440981933260904,0.600596857544447,0.762273019763617,0.759424620911235,0.244169401482415,0.243987568702068,0.00284839885238203,-0.000181832780347159,8,8,NaN,NaN,1.2,0.15
224,7,0.466666666666667,6,hold,0.00012971692994445,0.000103823124710324,8.31734922599171e-05,2.61316039517767e-05,5.09096037240873e-06,2.30684846457363e-17,0.0481102645717771,0.462751699493432,0.592171791912994,0.762273019763617,0.762184169411427,0.244169401482415,0.244175782020512,8.8850352189862e-05,6.38053809668082e-06,15,8,0.0145903589236514,0.0303465327493946,1.2,0.15
224,7,0.466666666666667,6,mean,4.29001403076304e-05,3.06384753480085e-05,3.6510478462584e-05,9.28324831515036e-06,8.68587012923828e-07,3.07579795276485e-17,0.0481101392806986,0.46275616282174,0.591810711544392,0.762273019763617,0.762276321738359,0.244169401482415,0.24416713479723,-3.30197474227023e-06,-2.2666851849229e-06,15,8,0.0146134467128503,0.0333382159457818,1.2,0.15
224,7,0.466666666666667,6,kalman,4.06521949863715e-05,4.92449869947196e-05,3.13162104679904e-05,2.43755126086987e-06,6.90573496309272e-07,5.38264641733848e-17,0.0481203339863205,0.46295470573937,0.591863409346121,0.762273019763617,0.762271126974695,0.244169401482415,0.244169932699831,1.89278892160916e-06,5.31217415647156e-07,15,8,0.0146128897017023,0.0333384498971263,1.2,0.15
224,7,0.466666666666667,6,kalman-gm,6.57399654751313e-05,5.693340768571e-05,4.32473265351705e-05,1.01832243304029e-05,1.94905314080675e-06,4.61369692914727e-17,0.0481071695733231,0.462735864046246,0.59197461798746,0.762273019763617,0.762253667044356,0.244169401482415,0.244171887914205,1.9352719261212e-05,2.48643178991564e-06,15,8,0.0086889455670836,0.0181209420907891,1.2,0.15
224,7,0.466666666666667,10.2,none,0.00702489232010144,0.00527290595754936,0.00438950068394513,0.000607000855699981,0.000104736193864284,0.466666666666666,0.0735471769954234,0.510649380802516,0.604193072812317,0.763935855938713,0.758655132525495,0.243491386203349,0.243343586723568,0.00528072341321784,-0.000147799479781008,8,8,NaN,NaN,1.2,0.255
224,7,0.466666666666667,10.2,hold,0.000269037768755966,0.000759165625951804,0.000151422590582836,0.000163131941979475,9.55998549965512e-06,2.26161614173886e-17,0.0949242301267741,0.552193245926877,0.589402947488065,0.763935855938713,0.763736227966273,0.243491386203349,0.243531107426036,0.00019962797244069,3.97212226866267e-05,15,8,0.0215007615384186,0.0478106361196144,1.2,0.255
224,7,0.466666666666667,10.2,mean,0.00132198370736802,0.000518964673468705,0.000360491450755997,3.38554055585195e-05,1.20439151810832e-05,2.71393937008663e-17,0.0944690791483542,0.552166626316554,0.590262265446908,0.763935855938713,0.762947123768537,0.243491386203349,0.243483142703719,0.000988732170176483,-8.24349962992049e-06,15,8,0.0225133215593109,0.0512615763442268,1.2,0.255
224,7,0.466666666666667,10.2,kalman,0.00138329963883608,0.000664687856338551,0.000386511210692432,5.4688909930873e-05,8.18138768215481e-06,5.88020196852102e-17,0.0960137524593289,0.552684282541142,0.589649829591634,0.763935855938713,0.762896218617165,0.243491386203349,0.243502622452323,0.00103963732154885,1.12362489737028e-05,15,8,0.0225113407122216,0.0512999992241889,1.2,0.255
224,7,0.466666666666667,10.2,kalman-gm,0.000235661408410519,0.000789088635188714,0.00012968480787979,0.000108878724472079,4.54489274629838e-06,3.61858582678217e-17,0.0945826878887797,0.552165404443868,0.589479338941816,0.763935855938713,0.76377391931705,0.243491386203349,0.243517897234899,0.000161936621663064,2.65110315497591e-05,15,8,0.0131774819605913,0.0270173205524569,1.2,0.255
224,7,0.466666666666667,18,none,0.0118772889038597,0.0543521598334205,0.00867196460158209,0.00401539978516027,0.000138321965564826,0.466666666666666,0.147548982127903,0.403599441252663,0.611022479731532,0.766339241154661,0.757285853360491,0.242175938514647,0.241203505303165,0.00905338779416933,-0.000972433211482703,8,8,NaN,NaN,1.2,0.45
224,7,0.466666666666667,18,hold,0.000847239533028416,0.00230863635494591,0.000461754776806975,0.000536177050854394,5.14983621704943e-05,2.81948145670111e-17,0.182351633525583,0.68173176746299,0.586228080225641,0.766339241154661,0.765693311375081,0.242175938514647,0.242305787695148,0.000645929779579439,0.000129849180500679,15,8,0.0361899460925449,0.0788453875920396,1.2,0.45
224,7,0.466666666666667,18,mean,0.00266085154279233,0.00158706565313355,0.00151142642264835,1.49963930073244e-05,2.33712109261646e-05,3.58843094489232e-17,0.182098454859519,0.682329933521069,0.587550885204304,0.766339241154661,0.764312127400613,0.242175938514647,0.242172875572662,0.00202711375404773,-3.06294198530066e-06,15,8,0.0386591422541363,0.0875151797147602,1.2,0.45
224,7,0.466666666666667,18,kalman,0.00207613201344013,0.00212368221209166,0.000956922155904633,0.000498280113645488,2.97191581622909e-05,4.10106393701979e-17,0.183355270594152,0.683788346692967,0.586733731108887,0.766339241154661,0.764757918150447,0.242175938514647,0.242296609968813,0.00158132300421305,0.000120671454165281,15,8,0.0386074453485077,0.0874446321493449,1.2,0.45
224,7,0.466666666666667,18,kalman-gm,0.000941110885071717,0.00166094336337594,0.00051985843114332,0.000348543651478026,3.03386505883988e-05,3.07579795276485e-17,0.18216914835508,0.682000250845232,0.586117861317319,0.766339241154661,0.765628283980733,0.242175938514647,0.242260347400557,0.000710957173928027,8.44088859100131e-05,15,8,0.023851744246264,0.0462217648241339,1.2,0.45
224,7,0.466666666666667,30,none,0.0202328761284642,0.0792756030391233,0.0149940522796867,0.00582983562754683,0.000110150934945246,0.466666666666666,0.264090116609338,0.419069406652278,0.625183409733007,0.770567549288362,0.75500593837783,0.239356771046396,0.237965825944261,0.0155616109105322,-0.00139094510213484,8,8,NaN,NaN,1.2,0.75
224,7,0.466666666666667,30,hold,0.0024781349340749,0.00424316592104461,0.00161886459926044,0.0017586945627962,0.000227539218493775,2.76821815748836e-17,0.323424830118411,0.69435058894426,0.577998119200603,0.770567549288362,0.768659984798149,0.239356771046396,0.239777726498204,0.0019075644902133,0.000420955451807751,15,8,0.0597854794619074,0.124453967142464,1.2,0.75
224,7,0.466666666666667,30,mean,0.00692423839216682,0.015531906591291,0.00389959700794777,0.000208928320005246,6.48703932025177e-05,3.22958785040309e-17,0.320764951252112,0.691134933882588,0.582954989260791,0.770567549288362,0.76523915659867,0.239356771046396,0.239388129444919,0.0053283926896918,3.13583985224425e-05,15,8,0.0649719921135224,0.146173280682339,1.2,0.75
224,7,0.466666666666667,30,kalman,0.00436319365806712,0.0331704613669576,0.00221860336137561,0.00148869171575721,0.000178621832036118,3.53716764567957e-17,0.314857624540843,0.491109433803054,0.586939806261177,0.770567549288362,0.767211232900697,0.239356771046396,0.239152196216197,0.00335631638766517,-0.000204574830199627,15,8,0.0646082467151363,0.145405721269286,1.2,0.75
224,7,0.466666666666667,30,kalman-gm,0.0026495978430804,0.00344089077514159,0.00160379228278891,0.00142606678807571,0.000161504798732552,3.07579795276485e-17,0.323552796670078,0.694840646259113,0.577749013309298,0.770567549288362,0.768532006988368,0.239356771046396,0.239698109788087,0.00203554229999406,0.000341338741690307,15,8,0.0432010482223113,0.079047930363556,1.2,0.75
224,7,0.466666666666667,60,none,0.0374049101196429,0.0597716233032039,0.0283386550820794,0.014740478715031,0.00109529150476157,0.466666666666666,0.472330932503595,0.563073511260472,0.694453281915247,0.778956862416219,0.749834644421878,0.223126860356711,0.226415857092551,0.0291222179943409,0.00328899673583979,8,8,NaN,NaN,1.2,1.5
224,7,0.466666666666667,60,hold,0.00917174160006294,0.00437154043822914,0.00577058153083797,0.00427276182676511,0.00102889166865087,2.537533311031e-17,0.493113576261869,0.540346267459209,0.679975547052192,0.778956862416219,0.771813474292913,0.223126860356711,0.224080228288169,0.00714338812330601,0.000953367931458103,15,8,0.119738083377453,0.243419025977118,1.2,1.5
