policy,strengthMode,k,trials,successes,successRate,wilsonLower95,wilsonUpper95,meanGO,meanGOPasses,meanGOWilsonLower95,meanGOWilsonUpper95,meanGOPairedDifference,meanLO,meanLOPasses,meanLOWilsonLower95,meanLOWilsonUpper95,meanLOPairedDifference,meanPairDistanceNorm,meanPairDistanceNormPasses,meanPairDistanceNormWilsonLower95,meanPairDistanceNormWilsonUpper95,meanPairDistanceNormPairedDifference,strictJointSuccesses,isotonicSuccessRate
balanced,original,1,100,0,0.0,0,0.03699480747600191,0.20488754220881308,18,0.11700131654251038,0.26667536024213084,-0.4496259944851154,0.36737477453846545,2,0.005501852234968185,0.07001316294199365,-0.41894095007287324,0.3826440577565273,0,0,0.03699480747600191,0.225837638405236,0,0.0
balanced,original,2,100,0,0.0,0,0.03699480747600191,0.20574976614968413,20,0.1333659225590988,0.28883096192650237,-0.4487637705442444,0.37432813176142093,1,0.0017673865655472645,0.0544875247609346,-0.41198759284991776,0.3818345585870866,0,0,0.03699480747600191,0.22502813923579526,0,0.0
balanced,original,3,100,0,0.0,0,0.03699480747600191,0.2070534416967169,21,0.14165549531645788,0.2998014930196232,-0.44746009499721157,0.37390450293655264,2,0.005501852234968185,0.07001316294199365,-0.4124112216747861,0.38131972213823256,0,0,0.03699480747600191,0.22451330278694126,0,0.0
balanced,original,4,100,0,0.0,0,0.03699480747600191,0.20323873840422585,21,0.14165549531645788,0.2998014930196232,-0.45127479828970263,0.3758383927318031,1,0.0017673865655472645,0.0544875247609346,-0.4104773318795356,0.38154838832020865,0,0,0.03699480747600191,0.22474196896891732,0,0.0
balanced,original,5,100,0,0.0,0,0.03699480747600191,0.20491506865672596,20,0.1333659225590988,0.28883096192650237,-0.44959846803720255,0.374491533499013,1,0.0017673865655472645,0.0544875247609346,-0.4118241911123257,0.38146999922083347,0,0,0.03699480747600191,0.22466357986954213,0,0.0
balanced,original,6,100,0,0.0,0,0.03699480747600191,0.2115547099037833,20,0.1333659225590988,0.28883096192650237,-0.4429588267901452,0.37791826339024087,2,0.005501852234968185,0.07001316294199365,-0.4083974612210978,0.38219084218974075,0,0,0.03699480747600191,0.22538442283844942,0,0.0
balanced,original,7,100,0,0.0,0,0.03699480747600191,0.21218237878915197,15,0.09305903191162297,0.23283733332157835,-0.4423311579047765,0.38057837217754564,3,0.010254338223414816,0.08452078080402699,-0.40573735243379305,0.38003917550214117,0,0,0.03699480747600191,0.22323275615084984,0,0.0
balanced,original,8,100,0,0.0,0,0.03699480747600191,0.20418883838288235,20,0.1333659225590988,0.28883096192650237,-0.45032469831104616,0.3727183383053055,2,0.005501852234968185,0.07001316294199365,-0.41359738630603327,0.38102600648423135,0,0,0.03699480747600191,0.22421958713294005,0,0.0
balanced,original,9,100,0,0.0,0,0.03699480747600191,0.20548704584515215,19,0.1251465399270426,0.27779024070807856,-0.4490264908487763,0.3772080982001559,2,0.005501852234968185,0.07001316294199365,-0.40910762641118287,0.3817639838604671,0,0,0.03699480747600191,0.22495756450917578,0,0.0
balanced,original,10,100,0,0.0,0,0.03699480747600191,0.20865264672671313,17,0.10893476059773155,0.25548181233642975,-0.44586088996721535,0.3764694898216726,2,0.005501852234968185,0.07001316294199365,-0.40984623478966614,0.3794635665046982,0,0,0.03699480747600191,0.2226571471534069,0,0.0
