seed,policy,strengthMode,k,blockSize,nBlocks,meanGO,meanLO,meanPairDistance,passBlocks,passFraction,durationWeightedPass
51,random,fixed-total,7,100,1,0.421883315597805,0.569276664709901,0.0655495286861184,1,1,1
51,random,fixed-total,7,100,1,0.414277967747719,0.564720151230044,0.0650171735843117,1,1,1
51,random,fixed-total,7,100,1,0.349313069262255,0.463478789831814,0.0730213598179216,0,1,0
51,random,fixed-total,7,100,1,0.319235488247188,0.517607079057314,0.0725513110899884,0,1,0
51,random,fixed-total,7,100,1,0.459355387126537,0.558070027389862,0.0695591311022783,1,1,1
51,random,fixed-total,7,100,1,0.460209530021871,0.521390872646537,0.0670552471883562,0,1,0
51,random,fixed-total,7,100,1,0.418592361350715,0.471577199909149,0.0750601021096329,0,1,0
51,random,fixed-total,7,100,1,0.506033153980313,0.642282436414198,0.0946159773056936,1,1,1
51,random,fixed-total,7,100,1,0.518271990183909,0.631087117451876,0.111482368131363,1,1,1
51,random,fixed-total,7,100,1,0.495522847829218,0.621706831295098,0.126091398846818,1,1,1
51,random,fixed-total,7,100,1,0.581014718745912,0.6916990853801,0.143423331277334,1,1,1
51,random,fixed-total,7,100,1,0.689408769810363,0.719744694917591,0.14816900914197,1,1,1
51,random,fixed-total,7,100,1,0.594479829710372,0.724283439676071,0.131854438716131,1,1,1
51,random,fixed-total,7,100,1,0.554957456738767,0.655018842995624,0.116470506951753,1,1,1
51,random,fixed-total,7,100,1,0.586672375750959,0.775680369120955,0.113990267983862,1,1,1
51,random,fixed-total,7,100,1,0.647469915187824,0.760462257480529,0.10933971458481,1,1,1
51,random,fixed-total,7,100,1,0.584390778186644,0.789551922987496,0.0944521287723133,1,1,1
51,random,fixed-total,7,100,1,0.53389130547315,0.649004695572082,0.0873813495804302,1,1,1
51,random,fixed-total,7,300,1,0.457618672539509,0.664670592610587,0.0936311255658295,1,1,1
51,random,fixed-total,7,300,1,0.360942175085721,0.515268673373057,0.0701966148307406,0,1,0
