k,conditionA,conditionB,metric,meanDifference,bootstrapLower95,bootstrapUpper95,positivePairs
7,2,1,GO,0.0145711810346535,-0.0214341443925891,0.0512726643565153,3
7,2,1,LO,-0.00272509150799289,-0.0525288877813872,0.0431664746097105,2
7,2,1,distance,0.00849965512266452,0.00346362026287589,0.0134161136452589,5
7,2,1,amplitude,-0.043069359122429,-0.0433847504237009,-0.042571127975214,0
7,2,1,inputMass,-0.0431835493386062,-0.0434997768399426,-0.0426839972262418,0
7,2,1,distanceWeight,-0.512730465743196,-0.516485124091672,-0.506799142562065,0
7,4,3,GO,0.0295247360641034,-0.249553790426189,0.275611211536777,3
7,4,3,LO,-0.0129969841704927,-0.190117098873278,0.130086085745532,3
7,4,3,distance,-0.00585797491764892,-0.0619254869872873,0.0559525683610349,2
7,4,3,amplitude,2.77555756156289e-17,2.77555756156289e-17,2.77555756156289e-17,5
7,4,3,inputMass,0,0,0,0
7,4,3,distanceWeight,-0.171864540326938,-0.277917212333287,-0.0827273107429385,0
7,4,2,GO,0.471579392203148,0.218837764144576,0.724321020261721,5
7,4,2,LO,0.380724388184608,0.182856457617855,0.558130164991034,5
7,4,2,distance,-0.268089908276884,-0.333945109300889,-0.188667852940544,0
7,4,2,amplitude,0.187069359122427,0.186571127975212,0.187384750423699,5
7,4,2,inputMass,0.187565337957353,0.187065785844988,0.187881565458689,5
7,4,2,distanceWeight,0.340865925416257,0.231673704485891,0.43335969350895,5
15,2,1,GO,-0.503077586228781,-0.530955536985932,-0.473196519082821,0
15,2,1,LO,-0.426043909592216,-0.477069089619524,-0.375018729564909,0
15,2,1,distance,0.217564433685602,0.162814057085268,0.273600789775508,5
15,2,1,amplitude,-0.092676986133653,-0.0931380644617691,-0.0923165334861028,0
15,2,1,inputMass,-0.0929227015400793,-0.0933850023297094,-0.0925612932208734,0
15,2,1,distanceWeight,-0.514872145186951,-0.517433691454263,-0.512869630478339,0
15,4,3,GO,-0.123768170343589,-0.362091796461541,0.079856312312601,1
15,4,3,LO,-0.0800414661493428,-0.221484487575288,0.0313427031213297,1
15,4,3,distance,0.0251449421577623,-0.0110478168804629,0.072446274675601,3
15,4,3,amplitude,0,0,0,0
15,4,3,inputMass,0,0,0,0
15,4,3,distanceWeight,-0.1912271400264,-0.265175440063002,-0.128757429387867,0
15,4,2,GO,0.477109795201551,0.267933776286914,0.686285814116187,5
15,4,2,LO,0.435521812718699,0.312438869126702,0.558604756310696,5
15,4,2,distance,-0.255289833664752,-0.295464570940183,-0.206378409442548,0
15,4,2,amplitude,0.140676986133649,0.140316533486099,0.141138064461765,5
15,4,2,inputMass,0.141049964412994,0.140688556093788,0.141512265202624,5
15,4,2,distanceWeight,0.323645005160551,0.249508331343868,0.385372062263736,5
