seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,eventGODeviation,postGOLoss,postGODeviation,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,eventPairDistanceDeviation,postPairDistanceIncrease,postPairDistanceDeviation,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
210,7,0.466666666666667,3,10,none,0.698492318522336,-0.00356974172896433,0.00358267700349854,-0.00607640257744497,0.00607640257744497,1.00557669634159,0.642678436047099,1.20568735057267e-05,1.21851382632779e-05,7.22354981416834e-05,8.39352534621954e-05,0.09625452574583,8,8,0.572679547723558,NaN,NaN,0,1.2
210,7,0.466666666666667,3,10,hold,0.698492318522336,3.11824463193555e-05,0.000473361336404288,-0.000214347009609578,0.00054240916710745,0.999951286382177,0.634911495756983,1.64195100177261e-06,1.64195100177261e-06,2.22191153088547e-05,2.22191153088547e-05,0.180477235773431,15,8,0.557476607083376,0.0234622411796465,0.048569461330962,1400,1.2
210,7,0.466666666666667,3,10,mean,0.698492318522336,-7.08564848241333e-05,0.00037824112669721,0.000619717561938669,0.000632777042295229,1.00011069290994,0.635138306642216,9.73416752059198e-07,9.73416752059198e-07,-1.91229192281206e-06,2.62511285495842e-06,0.180477235773431,15,8,0.558154558267212,0.0129282830591957,0.0262035396617053,1400,1.2
210,7,0.466666666666667,3,10,kalman,0.698492318522336,-5.37843795047621e-05,0.00039598640407843,0.000635772557941943,0.000646949272364814,1.00008402264791,0.635131768944645,9.85810955118904e-07,9.85810955118904e-07,-3.35063525635254e-06,3.51210352064119e-06,0.180477235773431,15,8,0.558054400961911,0.0129282927330707,0.0262035396480624,1400,1.2
210,7,0.466666666666667,3,10,kalman-gm,0.698492318522336,1.77115368504399e-05,0.000470428998940919,0.000123968658670562,0.00022802339092404,0.99997233080983,0.635043401481623,1.34186421749671e-06,1.34186421749671e-06,1.70427029341083e-05,1.70427029341083e-05,0.180477235773431,15,8,0.557757387351986,0.011195979942635,0.0208487266236803,1400,1.2
210,7,0.466666666666667,6,20,none,0.698492318522336,-0.00706698721129446,0.00707345484856157,-0.022352884749455,0.022352884749455,1.01109045575767,0.642678436047099,4.6153298609973e-05,4.62174309887486e-05,0.000285874672035858,0.00028814888045497,0.09625452574583,8,8,0.572414047382206,NaN,NaN,0,1.2
210,7,0.466666666666667,6,20,hold,0.698492318522336,0.000752898785287215,0.00114164597241593,-0.000429528855581924,0.00100133099824582,0.99881845114211,0.629835040280697,6.10262420243576e-06,6.10262420243576e-06,0.000112576518751549,0.000112576518751549,0.180477235773431,15,8,0.557209474594302,0.0437727093270611,0.100299605968301,2800,1.2
210,7,0.466666666666667,6,20,mean,0.698492318522336,-3.23980625713594e-05,0.000588531081184862,0.00154498391906137,0.00171397665556923,1.00005084334651,0.632711795426127,8.85204362335856e-07,9.40497380372274e-07,1.90352659400317e-06,4.69478682620955e-06,0.180477235773431,15,8,0.558417783153675,0.0240812779616992,0.048106211229543,2800,1.2
210,7,0.466666666666667,6,20,kalman,0.698492318522336,4.38516174957715e-05,0.000587081552729118,0.00164171923089378,0.00173903549548345,0.999931182212561,0.632714628396866,5.39943543068772e-07,8.34545580711416e-07,-1.31274195236952e-06,4.22518743830758e-06,0.180477235773431,15,8,0.557966312759645,0.0240789377929,0.0481044865600495,2800,1.2
210,7,0.466666666666667,6,20,kalman-gm,0.698492318522336,0.000394707338962785,0.00062974266342577,0.00073746676609588,0.000865531611005417,0.999380572774634,0.631178160423008,3.47716269151963e-06,3.47716269151963e-06,4.74015331965161e-05,4.74015331965161e-05,0.180477235773431,15,8,0.557797374605837,0.022077928275967,0.0399389396401952,2800,1.2
