seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,eventGODeviation,postGOLoss,postGODeviation,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,eventPairDistanceDeviation,postPairDistanceIncrease,postPairDistanceDeviation,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
230,7,0.466666666666667,3,10,none,0.335910998664979,-0.00184538726109257,0.00184538726109257,-0.00772899572944201,0.00772899572944201,1.00491603645957,0.37688317651065,1.48710508146577e-06,1.52373291205654e-06,-0.000291799800621129,0.000291846172811466,0.09625452574583,8,8,0.409021707021319,NaN,NaN,0,1.2
230,7,0.466666666666667,3,10,hold,0.335910998664979,-0.000358890144387414,0.000359781595853592,-0.000846021960689617,0.000846023650156553,1.00095606871901,0.375223704555308,1.25689138152918e-07,1.25689138152918e-07,-5.01035689891016e-07,1.1833397132649e-06,0.180477235773431,15,8,0.38218528715715,0.01234894474113,0.0237608694762574,1400,1.2
230,7,0.466666666666667,3,10,mean,0.335910998664979,1.83909831640294e-06,1.95773186187909e-06,1.81926245331088e-06,5.13101644257663e-06,0.999995100717033,0.374116216872601,2.3571511464926e-08,2.35917790858409e-08,8.61835870447081e-08,1.06641243922123e-07,0.180477235773431,15,8,0.382008578234526,0.0109090754247155,0.0232818017045262,1400,1.2
230,7,0.466666666666667,3,10,kalman,0.335910998664979,2.40427605951443e-06,2.53792564658961e-06,1.72043389861432e-06,5.83606464374498e-06,0.999993595106557,0.374112891518901,3.12437901162088e-08,3.12437901162088e-08,1.49960386469639e-07,1.61525822504061e-07,0.180477235773431,15,8,0.381941910474478,0.0109090594527742,0.0232817952395483,1400,1.2
230,7,0.466666666666667,3,10,kalman-gm,0.335910998664979,1.99859538204672e-06,2.4767502451617e-06,-2.13292864995163e-06,2.39463373386539e-06,0.99999467582335,0.374114805443245,3.22664719720756e-08,3.22664719720756e-08,4.42550364719851e-07,4.42550364719851e-07,0.180477235773431,15,8,0.381027265791912,0.0130251114441637,0.0136889163293619,1400,1.2
230,7,0.466666666666667,6,20,none,0.335910998664979,-0.00217298730129357,0.00217298730129357,-0.00611817835584799,0.00611817835584799,1.00580332638778,0.374570035210525,4.79852740961628e-07,1.63601919709044e-06,-0.000281222484514281,0.000281222484514281,0.09625452574583,8,8,0.40937864434759,NaN,NaN,0,1.2
230,7,0.466666666666667,6,20,hold,0.335910998664979,-0.000849487715609237,0.000849933441342326,-0.000777501736341704,0.000784347096684505,1.00226869916504,0.374076353612391,6.60398311239097e-07,6.60398311239097e-07,3.4138513005838e-06,3.50826638681079e-06,0.180477235773431,15,8,0.382479904390424,0.018861902395654,0.0371181843687629,2800,1.2
230,7,0.466666666666667,6,20,mean,0.335910998664979,-0.00020023217853907,0.000215681670737208,-0.000709592773116811,0.00072298416255742,1.00053475355549,0.372652226785912,-2.4337177345346e-07,3.85848475395467e-07,-6.93516530368754e-06,6.93516530368754e-06,0.180477235773431,15,8,0.381995306440289,0.0174760261807279,0.0384342432430644,2800,1.2
230,7,0.466666666666667,6,20,kalman,0.335910998664979,-0.000140912423744063,0.000163888452710728,-0.000707269457039645,0.000722706630538993,1.00037633021905,0.372651651649025,-3.23275062596995e-07,4.87268646909289e-07,-7.48339872825521e-06,7.48339872825521e-06,0.180477235773431,15,8,0.381695002270232,0.0174756851373431,0.0384342432430644,2800,1.2
230,7,0.466666666666667,6,20,kalman-gm,0.335910998664979,-0.000474405183444013,0.000476642856257617,-0.000741781992611773,0.000746004239305185,1.0012669784669,0.374068329875189,2.29734075202215e-07,2.29734075202215e-07,-5.45221881095292e-07,1.28211259416089e-06,0.180477235773431,15,8,0.380407818205477,0.0185773598722781,0.0214379083259226,2800,1.2
230,7,0.466666666666667,10.2,34,none,0.335910998664979,-0.00240810378987381,0.00240810378987381,-0.00417361599671411,0.004216936134624,1.00646019486059,0.371840007461265,7.06283283820249e-07,1.58559928992e-06,-0.000356576419831395,0.000357120286140525,0.09625452574583,8,8,0.413531256295673,NaN,NaN,0,1.2
230,7,0.466666666666667,10.2,34,hold,0.335910998664979,-0.00138695059652317,0.00138721278813087,-0.000594804002066289,0.00061194204342314,1.00372075786485,0.370964035738983,4.57313605272582e-06,4.57313605272582e-06,9.96940038344274e-06,9.96940038344274e-06,0.180477235773431,15,8,0.385197107256248,0.0288269714178026,0.0615848624186137,4760,1.2
230,7,0.466666666666667,10.2,34,mean,0.335910998664979,-0.000481138295901225,0.000495144398729482,0.000935185792836949,0.00103563136689244,1.00129074467616,0.369470781429964,-2.49514636382897e-06,2.57895618850074e-06,-6.90521508397435e-05,6.90521508397435e-05,0.180477235773431,15,8,0.384209013045883,0.0270552918885018,0.0605266965715362,4760,1.2
230,7,0.466666666666667,10.2,34,kalman,0.335910998664979,-0.000364332697861403,0.000470481925749787,0.000929473758326941,0.00102797788422678,1.00097739151949,0.368259281624945,-2.8021188726824e-06,2.89858568698375e-06,-6.99074511580461e-05,6.99074511580461e-05,0.180477235773431,15,8,0.383074265940199,0.0270570325401532,0.060448788983461,4760,1.2
230,7,0.466666666666667,10.2,34,kalman-gm,0.335910998664979,-0.000877260792703967,0.000878577070829616,-0.000580957138163798,0.000594734804066457,1.0023534183569,0.37095497312271,9.83525365822893e-07,9.83525365822893e-07,2.62168061906376e-07,1.7802671490863e-06,0.180477235773431,15,8,0.38204251939577,0.0269954882132919,0.0346911760324176,4760,1.2
