seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,eventGODeviation,postGOLoss,postGODeviation,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,eventPairDistanceDeviation,postPairDistanceIncrease,postPairDistanceDeviation,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
228,7,0.466666666666667,3,10,none,0.882977028523904,0.00132675923732454,0.00132675923732454,0.00141686525352115,0.00148072341989386,0.99852304886914,0.896042508825949,6.95730060319977e-06,6.96426859156107e-06,0.000192390701990232,0.000192390701990232,0.09625452574583,8,8,0.534055379800088,NaN,NaN,0,1.2
228,7,0.466666666666667,3,10,hold,0.882977028523904,2.80874261353814e-05,8.03345690959745e-05,-3.97798916155845e-05,0.000140228748831229,0.999968733019054,0.897661018632544,-1.85091355626998e-07,2.454643293473e-07,1.53074641028489e-05,1.53074641028489e-05,0.180477235773431,15,8,0.565320402755003,0.0167070367419106,0.0343740912522568,1400,1.2
228,7,0.466666666666667,3,10,mean,0.882977028523904,6.97476656454144e-05,6.97476656454144e-05,-7.03086484487458e-05,0.000127274386957233,0.999922356754148,0.897666803481452,-4.36661272887329e-07,4.53237503333925e-07,1.50361465923868e-05,1.54298009356479e-05,0.180477235773431,15,8,0.565117917467051,0.0213937585138296,0.0313799577108638,1400,1.2
228,7,0.466666666666667,3,10,kalman,0.882977028523904,7.02689055507855e-05,7.02689055507855e-05,-7.29367280672899e-05,0.00013020521015376,0.999921776508806,0.897666996608111,-4.44241580535576e-07,4.60818878550429e-07,1.6301812435667e-05,1.66754344414088e-05,0.180477235773431,15,8,0.565009085852938,0.0213937072473302,0.0313799577108638,1400,1.2
228,7,0.466666666666667,3,10,kalman-gm,0.882977028523904,-1.07364213519645e-07,3.5268099914032e-05,3.54659536472401e-05,6.12417797470566e-05,1.00000011951806,0.897714620857614,-3.51883276045184e-07,3.51883276045184e-07,-3.8835695160401e-06,3.8835695160401e-06,0.180477235773431,15,8,0.565445523059789,0.0173801868020199,0.0176552227254034,1400,1.2
228,7,0.466666666666667,6,20,none,0.882977028523904,0.00171183624044164,0.00171183624044164,-9.53959253044256e-05,0.0010798666397586,0.998093966243098,0.895500033945811,3.13168542740896e-05,3.13203382682703e-05,0.000384284284623488,0.000384284284623488,0.09625452574583,8,8,0.536115647611908,NaN,NaN,0,1.2
228,7,0.466666666666667,6,20,hold,0.882977028523904,-6.36676795414848e-05,0.000137728677150634,-0.000169518280417724,0.000330404583773467,1.00007089039451,0.897365784593767,2.14426254027678e-07,4.468507616609e-07,4.40812193667534e-05,4.40812193667534e-05,0.180477235773431,15,8,0.566321210094956,0.0263517777935278,0.0623367827418431,2800,1.2
228,7,0.466666666666667,6,20,mean,0.882977028523904,0.000110095992758924,0.000116949566357988,-0.000251676511466787,0.000389781020761049,0.999877414279625,0.89693009142941,-9.68846840652959e-07,9.77134955876258e-07,5.36049893109042e-05,5.40108816986981e-05,0.180477235773431,15,8,0.563631835012507,0.0353344912497759,0.0533982880546093,2800,1.2
228,7,0.466666666666667,6,20,kalman,0.882977028523904,0.000109298544462277,0.000118646372881093,-0.000339044483466986,0.000466199138228056,0.999878302193631,0.896986242174494,-9.40110315486575e-07,9.48398964494002e-07,6.34753407778464e-05,6.37822454350366e-05,0.180477235773431,15,8,0.563148714329923,0.035334249839288,0.053398026908732,2800,1.2
228,7,0.466666666666667,6,20,kalman-gm,0.882977028523904,-1.94675736007399e-05,6.2246323167614e-05,1.07344195638126e-05,0.000176590300121803,1.00002167605263,0.897015589214228,-1.21609030156664e-06,1.21609030156664e-06,4.076365164251e-06,6.38570612961478e-06,0.180477235773431,15,8,0.564121561882101,0.0270167002233914,0.0264564305767616,2800,1.2
228,7,0.466666666666667,10.2,34,none,0.882977028523904,0.0011513718430233,0.00137577276463062,-0.00548444134162073,0.00548444134162073,0.998716783781453,0.895162261164417,9.68084111776753e-05,9.68104605860169e-05,0.000503964856388476,0.000503964856388476,0.09625452574583,8,8,0.539988179541574,NaN,NaN,0,1.2
228,7,0.466666666666667,10.2,34,hold,0.882977028523904,-0.000179084008228708,0.000235492357563215,-0.000516091644150211,0.00111602367445704,1.00019959104023,0.895402771935882,2.23995171851147e-06,2.37667201711925e-06,0.000105592691750477,0.000105592691750477,0.180477235773431,15,8,0.568031023789925,0.0432982623259205,0.101492442272455,4760,1.2
228,7,0.466666666666667,10.2,34,mean,0.882977028523904,0.00015327508429376,0.000160597155024145,0.000501750037853291,0.000755999632208802,0.999829173281198,0.8950907512454,-8.01151567463674e-07,1.64229653798108e-06,1.16894083217685e-05,1.49242952835359e-05,0.180477235773431,15,8,0.561961559386222,0.0543220172522592,0.089486907127416,4760,1.2
