seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,eventGODeviation,postGOLoss,postGODeviation,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,eventPairDistanceDeviation,postPairDistanceIncrease,postPairDistanceDeviation,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
207,7,0.466666666666667,3,10,none,0.38959595460555,-0.00530476162295002,0.00530476162295002,-0.00319399153198052,0.00344460788905969,1.01454155401024,0.369229774163933,9.87188877409062e-06,9.87188877409062e-06,2.81762188626364e-05,2.81762188626364e-05,0.09625452574583,8,8,0.436132753610056,NaN,NaN,0,1.2
207,7,0.466666666666667,3,10,hold,0.38959595460555,-1.31736272957539e-05,2.53493531124749e-05,-5.13833307589751e-06,1.745259800573e-05,1.00003611189841,0.362728108635698,2.02169290752785e-08,2.05126606922512e-08,-2.2093082356317e-07,2.37565020927699e-07,0.180477235773431,15,8,0.434478187785686,0.0153504833142608,0.0372516504163714,1400,1.2
207,7,0.466666666666667,3,10,mean,0.38959595460555,-2.80315350272842e-06,1.84056649757847e-05,8.50327518826854e-06,1.17679067386445e-05,1.00000768407913,0.362679948339269,-1.43479928216284e-08,2.37746800302308e-08,-3.80393026764847e-07,3.80393026764847e-07,0.180477235773431,15,8,0.434629429981946,0.011559813854368,0.0242733027650031,1400,1.2
207,7,0.466666666666667,3,10,kalman,0.38959595460555,-6.57543036495789e-06,2.11241086259528e-05,1.00077957776762e-05,1.45972299172598e-05,1.00001802474505,0.362691232538844,-1.2699273005401e-08,2.46001641557303e-08,-1.18071427341049e-07,1.58624215866043e-07,0.180477235773431,15,8,0.434546753769694,0.0115598063129877,0.024273331166476,1400,1.2
207,7,0.466666666666667,3,10,kalman-gm,0.38959595460555,1.31540406099195e-06,1.13050445913532e-05,-5.67056689451839e-06,2.15099900906418e-05,0.999996394179313,0.3626601070999,-1.39948181460126e-08,1.76767805309952e-08,-1.42985024431275e-06,1.42985024431275e-06,0.180477235773431,15,8,0.433720756435211,0.0144422161196507,0.0172941089809209,1400,1.2
207,7,0.466666666666667,6,20,none,0.38959595460555,-0.00919818226980506,0.00919818226980506,-0.00738479158794061,0.00738479158794061,1.02542202374542,0.369229774163933,2.98950442830626e-05,2.98950442830626e-05,3.79562254348528e-05,9.07590583611764e-05,0.09625452574583,8,8,0.435210543123477,NaN,NaN,0,1.2
207,7,0.466666666666667,6,20,hold,0.38959595460555,-0.000118505539550132,0.000332639942311888,-0.000159099481873151,0.000276666440707691,1.00032752673866,0.357393282173777,-3.97928864837027e-07,4.18293659720792e-07,-1.41357755275598e-05,1.41357755275598e-05,0.180477235773431,15,8,0.433801116242585,0.0301267137042947,0.0680697891684664,2800,1.2
207,7,0.466666666666667,6,20,mean,0.38959595460555,-1.42296059814861e-05,0.000152856138727736,0.000101966723674467,0.000144033936513295,1.00003932792051,0.355904317852603,-2.87663966745677e-07,2.92377310349978e-07,-6.69185471662309e-06,6.69185471662309e-06,0.180477235773431,15,8,0.433977190083499,0.0229863851671159,0.0411006684220724,2800,1.2
207,7,0.466666666666667,6,20,kalman,0.38959595460555,-9.56026185157527e-05,0.000201778864712673,-6.8539556787835e-05,0.000270700375251782,1.00026422742741,0.356013704000241,-4.29269205486083e-07,4.35219651061247e-07,-2.22170811342473e-05,2.22170811342473e-05,0.180477235773431,15,8,0.433604976611248,0.0229861025921916,0.0411006684220719,2800,1.2
207,7,0.466666666666667,6,20,kalman-gm,0.38959595460555,0.000131767978416264,0.000160414209939058,-4.36198626188156e-06,3.00260758777837e-05,0.999635818406515,0.356405169603052,-3.96623791112938e-07,3.98464772305429e-07,-1.29712415922106e-06,1.29712415922106e-06,0.180477235773431,15,8,0.431999344360983,0.0262758863627585,0.0303396653373618,2800,1.2
