seed,hiddenCount,hiddenFraction,T,durationSteps,mode,checkpointGO,eventGOLoss,eventGODeviation,postGOLoss,postGODeviation,eventGOPreservation,eventMinGO,eventPairDistanceIncrease,eventPairDistanceDeviation,postPairDistanceIncrease,postPairDistanceDeviation,eventInputMass,eventActiveNeighbors,eventFreshNeighbors,eventInputConcentration,meanPredictionError,p90PredictionError,predictionErrorCount,recoveryTime
225,7,0.466666666666667,3,10,none,0.373507593299514,0.00283121495162464,0.00283121495162464,0.00401459309330477,0.00401459309330477,0.99357871995691,0.436406217377513,5.38629893479525e-06,5.38629893479525e-06,-1.89254289126645e-05,2.50975720033836e-05,0.09625452574583,8,8,0.421038400643335,NaN,NaN,0,1.2
225,7,0.466666666666667,3,10,hold,0.373507593299514,3.10230509641962e-06,1.17265765252339e-05,6.77392394743626e-05,7.93332688239345e-05,0.999992963879414,0.440413962471378,8.97658443133054e-08,8.97660100696029e-08,2.4001260433143e-06,2.4001260433143e-06,0.180477235773431,15,8,0.363825405631075,0.0302523506461848,0.0276174457191575,1400,1.2
225,7,0.466666666666667,3,10,mean,0.373507593299514,-3.1665596920083e-06,5.69739125561575e-06,1.03498863410167e-05,2.72293884106967e-05,1.00000718185193,0.440410821095933,2.60690032172217e-08,2.60694440312736e-08,-9.63374946448825e-07,9.63374946448825e-07,0.180477235773431,15,8,0.363814448371196,0.0290223078037272,0.026394087393748,1400,1.2
225,7,0.466666666666667,3,10,kalman,0.373507593299514,-3.81555162739522e-06,5.74763571844494e-06,4.51045374504022e-06,2.45936544945469e-05,1.00000865378501,0.440412092242054,2.54758444395709e-08,2.54762905826933e-08,-8.28930898761349e-07,8.29664507318584e-07,0.180477235773431,15,8,0.363756601348942,0.0290223092394916,0.0263940873743795,1400,1.2
225,7,0.466666666666667,3,10,kalman-gm,0.373507593299514,-8.09901883714881e-06,1.03716977142509e-05,3.11968742039842e-05,3.98994700316052e-05,1.00001836881654,0.440414749352262,-4.10074317114262e-08,5.51640888246663e-08,8.26046658448654e-07,8.28547473091801e-07,0.180477235773431,15,8,0.363723108941182,0.0244972812622128,0.0138759473253032,1400,1.2
225,7,0.466666666666667,6,20,none,0.373507593299514,0.0050613152876849,0.0050613152876849,0.00378244408911342,0.00399776280916791,0.988567250468776,0.435309309126843,1.33522326132784e-05,1.33522326132784e-05,-7.77718906372882e-05,9.80486452747009e-05,0.09625452574583,8,8,0.420717799390132,NaN,NaN,0,1.2
225,7,0.466666666666667,6,20,hold,0.373507593299514,0.00139001257243848,0.00139432470815288,8.50011869633022e-05,0.000208593517775142,0.996860170789081,0.440413962471378,1.87466107193779e-06,1.87466115481594e-06,2.02512988382242e-05,2.02512988382242e-05,0.180477235773431,15,8,0.363500430670275,0.0369658136599777,0.04361732498892,2800,1.2
225,7,0.466666666666667,6,20,mean,0.373507593299514,0.000251474619890177,0.000299751230957265,0.00129675087326188,0.00143344526149472,0.999431956679391,0.440410821095933,-4.68035880177298e-07,4.94105103801545e-07,-4.35724817309524e-05,4.35724817309524e-05,0.180477235773431,15,8,0.363601958192211,0.0355351570639392,0.0425018224739855,2800,1.2
225,7,0.466666666666667,6,20,kalman,0.373507593299514,0.000270468641625871,0.000459264033843299,0.00131815733908751,0.00145513840080543,0.999389052042799,0.440412092242054,-7.23153868192883e-07,7.50749987338262e-07,-4.46890953231938e-05,4.46890953231938e-05,0.180477235773431,15,8,0.363341349342965,0.0355349384222992,0.0425018199191602,2800,1.2
225,7,0.466666666666667,6,20,kalman-gm,0.373507593299514,0.00036890232454839,0.000378540854650047,3.9476141407796e-05,0.000114687794331219,0.999166705166874,0.440414749352262,5.85590472465536e-07,6.46320556188518e-07,4.9126757946133e-06,4.9126757946133e-06,0.180477235773431,15,8,0.363425470560099,0.0278820245795715,0.0219250535065401,2800,1.2
