profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
quick,12,40,400,1,5,random,original,0.119022115475822,0.289717151725124,0.367338597009521,0.155413826176867,0.1,11,5,0.511540923804401,0.436760932130837,0.0457539237592399,0.625078385663114,0.636530756935722,1,5.29303982951068
quick,12,40,400,1,5,random,fixed-total,0.308300313086221,0.414087172260731,0.354774683406279,0.146581338818938,0.22,11,5,0.514312981664309,0.42324170550856,0.102185238660684,0.612391466550887,0.635741159021016,1,5.29303982951068
quick,12,40,400,1,5,nearest,original,0.104280723983291,0.273197786804883,0.369413941823104,0.154991257148373,0.1,11,5,0.521661346007976,0.432075518452508,0.0409119785342728,0.628231241742718,0.636722411564497,1,1.94082924740003
quick,12,40,400,1,5,nearest,fixed-total,0.0620268615119665,0.218682087563894,0.361142155331608,0.14410903622507,0.22,11,5,0.522758342384905,0.423015913943161,0.0934644861305068,0.61799030092937,0.636096611969057,1,1.88376848099899
quick,12,40,400,1,5,balanced,original,0.127773396820528,0.272695589188616,0.36930894776145,0.153557534334313,0.1,11,5,0.641431221421642,0.280507617600963,0.0293570378319555,0.62922051817529,0.636783615822365,1,3.10132185521674
quick,12,40,400,1,5,balanced,fixed-total,0.0972411213176805,0.267967654047042,0.367711448927395,0.14602306191124,0.22,11,5,0.642225885675561,0.275315549155931,0.0633440154238387,0.609465811706853,0.635578776968302,1,3.2276598210813
quick,12,40,400,1,7,random,original,0.229891428876775,0.309607968735279,0.365452630693907,0.152000368417707,0.14,11,7,0.577662681523669,0.380369421240494,0.0580025985518064,0.618196316722386,0.636110319582162,1,7.49901624940614
quick,12,40,400,1,7,random,fixed-total,0.301679824642242,0.392350224181479,0.357871574908106,0.147620278238434,0.22,11,7,0.576167787760526,0.369657767366558,0.0929848040662953,0.613290823718517,0.635806613702446,1,7.49901624940614
quick,12,40,400,1,7,nearest,original,0.0793571164248044,0.243824927831882,0.369478992401369,0.157803567293204,0.14,11,7,0.609389648941499,0.365671390354971,0.0539951254611892,0.621038460677937,0.636283514087198,1,4.26009915314478
quick,12,40,400,1,7,nearest,fixed-total,0.163778342375533,0.304540921413097,0.354809804313342,0.147870683905871,0.22,11,7,0.565398328576734,0.422589754755008,0.0904740134601733,0.612589720395675,0.635759839329138,1,3.84444025373552
quick,12,40,400,1,7,balanced,original,0.106632129013744,0.274905579677141,0.369328657573666,0.158054876525955,0.14,11,7,0.649595526600103,0.299901345672485,0.0447361704190635,0.629220514774558,0.636783615822369,1,5.42332690645043
quick,12,40,400,1,7,balanced,fixed-total,0.243390935258299,0.324826704872154,0.362115249159204,0.150102713131138,0.22,11,7,0.640344519971347,0.307722464604,0.0730526166154102,0.610985078509796,0.635671216708152,1,5.19755229943178
quick,12,40,400,1,10,random,original,0.233638249999674,0.332015827231628,0.363503824617321,0.152436536575738,0.2,11,10,0.640186460731541,0.325636137163564,0.0750278093889166,0.616865854334875,0.636027171819289,1,10.827057200819
quick,12,40,400,1,10,random,fixed-total,0.22475100234019,0.329368316016414,0.362331046585909,0.152683650985375,0.22,11,10,0.639438443050057,0.323653032714547,0.082930927413151,0.617134028866323,0.63604574531808,1,10.827057200819
quick,12,40,400,1,10,nearest,original,0.183403118030883,0.297822410038797,0.364962464406683,0.1518275096196,0.2,11,10,0.645076361890944,0.325520652834947,0.0749190918125932,0.620834854611318,0.636271639842849,1,8.81485184990832
quick,12,40,400,1,10,nearest,fixed-total,0.249222864987788,0.341634403123006,0.360608655786026,0.149896370722208,0.22,11,10,0.644343584511268,0.31897013006563,0.0848661031179087,0.61691365578457,0.63602906119392,1,8.81373370914038
quick,12,40,400,1,10,balanced,original,0.170962125885717,0.286306204830497,0.365351145661974,0.152498879685121,0.2,11,10,0.654286249936127,0.3204125008161,0.0719158833074046,0.617627853714093,0.636075552015685,1,9.80455914341653
quick,12,40,400,1,10,balanced,fixed-total,0.223436642371553,0.320086192542233,0.362374987867237,0.152441090916657,0.22,11,10,0.654641347281319,0.314745619711869,0.0794501429576792,0.616440254611739,0.636001162640865,1,9.95493477121023
quick,12,40,400,2,11,all,original,0.640626123229365,0.704693990801235,0.380243029614478,0.165369178225317,0.22,11,11,0.739277100090162,0.270123107117615,0.0715205821869519,0.615796570729152,0.635965071925703,1,12
quick,12,40,400,2,0,random,original,0.60366414084389,0.7134715582707,0.388200807932482,0.174872991552759,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,2,0,random,fixed-total,0.60366414084389,0.7134715582707,0.388200807932482,0.174872991552759,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,2,0,nearest,original,0.60366414084389,0.7134715582707,0.388200807932482,0.174872991552759,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,2,0,nearest,fixed-total,0.60366414084389,0.7134715582707,0.388200807932482,0.174872991552759,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,2,0,balanced,original,0.60366414084389,0.7134715582707,0.388200807932482,0.174872991552759,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,2,0,balanced,fixed-total,0.60366414084389,0.7134715582707,0.388200807932482,0.174872991552759,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,2,1,random,original,0.601982455192423,0.712666411960943,0.387335474278609,0.173569965400046,0.02,11,1,0,1,0.0198773584998521,0.637274742159118,0.637274742159118,1,1.00101930673546
quick,12,40,400,2,1,random,fixed-total,0.41962651859883,0.472185213731533,0.368433206341015,0.146050275718621,0.22,11,1,0,1,0.218502011753361,0.611558433251091,0.635596074601238,1,1.00101930673546
quick,12,40,400,2,1,nearest,original,0.637380902014893,0.740871319714108,0.387503803863716,0.173204968093026,0.02,11,1,0,1,0.0198385110453124,0.637274742159118,0.637274742159118,1,0.00422173108159815
quick,12,40,400,2,1,nearest,fixed-total,0.488706334933541,0.512212797580011,0.380334747069409,0.117136857522729,0.22,11,1,0,1,0.218375464035354,0.628062978009914,0.636407958560501,0.333333333333333,-4.75151602091772e-17
quick,12,40,400,2,1,balanced,original,0.637380902014893,0.740871319714108,0.387503803863716,0.173204968093026,0.02,11,1,0,1,0.0198385110453124,0.637274742159118,0.637274742159118,1,0.00422173108159815
