profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
n20-final,20,100,8000,1,3,nearest,fixed-total,0.307020594846801,0.877524263877945,0.260882219946572,0.00092282079210948,0.227999999999998,19,3,0.247996358074629,0.695419895360941,0.173393167503512,0.586174523383045,1.57814497378289,0.3,-7.85240855597336e-16
n20-final,20,100,8000,1,3,nearest,original,0.116510728749507,0.283160584427555,0.386033798396339,0.104956874164715,0.0359999999999999,19,3,0.373376595718183,0.549099556267456,0.0187448414985844,0.634871411919685,1.59169522752419,1,1.64464872322222
n20-final,20,100,8000,1,3,random,fixed-total,0.559885259328228,0.696810671755849,0.0904062188204255,0.0301759238220703,0.227999999999998,19,3,0.25796080557033,0.713965496836105,0.151647227444509,0.617253517405686,1.58910960835176,1,3.11138697123235
n20-final,20,100,8000,1,3,random,original,0.221594536647396,0.370512619365866,0.382156812871469,0.104616765010812,0.0359999999999999,19,3,0.389706071042404,0.522163321110634,0.0183926735823734,0.636286327922892,1.59178411396815,1,3.11138697123235
n20-final,20,100,8000,1,4,balanced,fixed-total,0.107462768500797,0.453445412549473,0.355867037621089,0.0786406367039191,0.227999999999998,19,4,0.676429884384209,0.132413714514303,0.0600742198924332,0.612926005997898,1.58877738441917,1,2.69854367810996
n20-final,20,100,8000,1,4,balanced,original,0.152968153101729,0.395190627878201,0.383652285948646,0.114466712100109,0.0479999999999994,19,4,0.701474058017485,0.0862122059141676,0.0122037952288182,0.63672450418195,1.59181126045487,1,2.93939334508453
n20-final,20,100,8000,1,4,nearest,fixed-total,0.436518077903975,0.830784471755187,0.256191566636855,0.00475688618436366,0.227999999999998,19,4,0.315068263518248,0.652124448051361,0.153844636153344,0.600674291722471,1.58354355250404,0.7,1.88340086366174e-15
n20-final,20,100,8000,1,4,nearest,original,0.307898006565115,0.465403510618508,0.37688812276268,0.097939655077395,0.0479999999999994,19,4,0.434473397371775,0.517154411893316,0.0236123219864481,0.633212428260447,1.59159156376014,1,1.74217992879008
n20-final,20,100,8000,1,4,random,fixed-total,0.657076626808516,0.764626194359788,0.0896266835277957,0.0154762625261067,0.227999999999998,19,4,0.313203818423314,0.66139841684055,0.153972473929413,0.617125584428719,1.58896622916885,1,4.14941176454874
n20-final,20,100,8000,1,4,random,original,0.170988434845764,0.293283279358134,0.386789266846045,0.114465866243888,0.0479999999999994,19,4,0.482804212904093,0.443897612633876,0.021965852592019,0.632341398796435,1.59154080322496,1,4.14941176454874
n20-final,20,100,8000,1,5,balanced,fixed-total,0.296946436561094,0.525015225883468,0.372545674817956,0.0961661633386786,0.227999999999998,19,5,0.712998363742584,0.184689494672384,0.0585409478147762,0.610591718239834,1.58834511848389,1,3.63460048801798
n20-final,20,100,8000,1,5,balanced,original,0.184145975806943,0.367364584732963,0.381609122828607,0.11359366573244,0.0599999999999995,19,5,0.721500484235633,0.181943576047068,0.0150559256576725,0.635932531197617,1.59176250887892,1,4.28667610976109
n20-final,20,100,8000,1,5,nearest,fixed-total,0.659829450729693,0.873261778266188,0.245837444464116,0.0169387580690704,0.227999999999998,19,5,0.32952887468156,0.664815008125814,0.159669901064093,0.613178086625079,1.58654106804378,1,0.316891365058679
n20-final,20,100,8000,1,5,nearest,original,0.284333548868403,0.393288703014027,0.380867947123961,0.106607020913569,0.0599999999999995,19,5,0.541627735655882,0.393857133635366,0.0263047191580623,0.63105633194748,1.59145867831209,1,2.85752945271263
n20-final,20,100,8000,1,5,random,fixed-total,0.759468849929863,0.838702315828028,0.0592166549987085,0.013589966200011,0.227999999999998,19,5,0.353341967573729,0.650304294918313,0.14763698805725,0.617654578381952,1.58916210332636,1,5.20284604786775
n20-final,20,100,8000,1,5,random,original,0.320106898908894,0.415602361229107,0.370806934186365,0.0999751002775825,0.0599999999999995,19,5,0.527309927343537,0.428761396901382,0.0267561283800341,0.628671829497842,1.59131461937031,1,5.20284604786775
n20-final,20,100,8000,1,6,balanced,fixed-total,0.296427804982777,0.536747789410642,0.258928727620755,0.052493260759987,0.227999999999998,19,6,0.634865658181757,0.318010295382903,0.0748971895113771,0.612915390224375,1.58869240525141,1,4.51690364046109
n20-final,20,100,8000,1,6,balanced,original,0.16732616084104,0.344229955344513,0.384551193237353,0.11241740781923,0.0719999999999998,19,6,0.743943722563844,0.153422848929548,0.0170510214787874,0.626782043519541,1.59120018559526,1,4.7571843736938
n20-final,20,100,8000,1,6,nearest,fixed-total,0.769806925217522,0.94957259823293,0.225956314548871,0.00759855274520821,0.227999999999998,19,6,0.355938485575542,0.668616167220805,0.151744806794236,0.613972159467572,1.58740163909248,1,0.0276369893507527
n20-final,20,100,8000,1,6,nearest,original,0.0711619243594032,0.374106700143875,0.369557339514833,0.100722698487716,0.0719999999999998,19,6,0.549222526437475,0.428920746478799,0.0308953399460787,0.628595767137736,1.59130670431717,1,3.35506800997794
n20-final,20,100,8000,1,6,random,fixed-total,0.989546371132449,0.993258013577024,0.0283550878886567,0.0112917097801262,0.227999999999998,19,6,0.39766822048595,0.629621263736987,0.140452355504736,0.609364135218265,1.58697150345777,1,6.23846540964568
n20-final,20,100,8000,1,6,random,original,0.128580775482344,0.353820253892762,0.361271184776049,0.112637842287879,0.0719999999999998,19,6,0.565484649166442,0.41816536697985,0.0306428663776245,0.626130554838698,1.59115900919885,1,6.23846540964568
n20-final,20,100,8000,1,7,balanced,fixed-total,0.901735262407963,0.928140022984405,0.0695167970936686,0.0271740947176973,0.227999999999998,19,7,0.579064461923247,0.430138696688185,0.0894128431118964,0.614620085740437,1.58894682689948,1,5.51026367394905
n20-final,20,100,8000,1,7,balanced,original,0.168617389063439,0.304787426034,0.389579740099632,0.108331948327342,0.0840000000000005,19,7,0.764970946079612,0.139411347631588,0.0195329078792198,0.624192648201898,1.59104152793851,1,6.0213457526115
n20-final,20,100,8000,1,7,nearest,fixed-total,0.551069880851916,0.668953269636665,0.338732808478676,0.044729312954612,0.227999999999998,19,7,0.449731196007393,0.578612722366764,0.135416073719998,0.622308642396383,1.58998558942862,1,0.969948493504626
n20-final,20,100,8000,1,7,nearest,original,0.170329301796083,0.425699818627134,0.335723529549432,0.0837280694843293,0.0840000000000005,19,7,0.531312381682851,0.497024696326955,0.0379111759802984,0.62822490512353,1.59126589642669,1,3.65385905601573
n20-final,20,100,8000,1,7,random,fixed-total,0.392156900850909,0.628653819704521,0.172952134845837,0.0350245571725489,0.227999999999998,19,7,0.445709069865732,0.57697025037218,0.132753745770605,0.619139442681879,1.58947314844794,1,7.29418755375077
n20-final,20,100,8000,1,7,random,original,0.269043911888934,0.416658958347908,0.366560566519332,0.103706790201637,0.0840000000000005,19,7,0.602519013182647,0.379827965846388,0.0348165235715504,0.625463826509897,1.59111225474801,1,7.29418755375077
n20-final,20,100,8000,1,8,balanced,fixed-total,0.352839465506793,0.60674076945376,0.220970556723339,0.0576546530255874,0.227999999999998,19,8,0.640203120934967,0.384181143844811,0.0808161181038273,0.615521434885157,1.58921804646905,1,6.17277402674103
n20-final,20,100,8000,1,8,balanced,original,0.19348250369158,0.404583447079871,0.38281648775684,0.113041012138634,0.0959999999999989,19,8,0.78041129482946,0.140818615310726,0.0229684489622654,0.62412431242992,1.59103701265027,1,6.69168222545451
n20-final,20,100,8000,1,8,nearest,fixed-total,0.415499024205236,0.580785292489746,0.235738101189814,0.0467297269816525,0.227999999999998,19,8,0.463023987835611,0.57520707647367,0.127658734237209,0.621587480837956,1.58986786671766,1,4.39075555673763
n20-final,20,100,8000,1,8,nearest,original,0.378849805583777,0.540218959215661,0.327475427080489,0.076372414606622,0.0959999999999989,19,8,0.557524184072563,0.452237384650999,0.0433825090964248,0.627150719456965,1.59116609960608,1,4.893959226036
n20-final,20,100,8000,1,8,random,fixed-total,0.779632018089257,0.820051792312042,0.0360351151413775,0.00860901958790911,0.227999999999998,19,8,0.426035358789679,0.619550329128035,0.143457976680307,0.612818506441205,1.58791079801962,1,8.32733680266957
n20-final,20,100,8000,1,8,random,original,0.125968716901675,0.308791275230243,0.389340341557785,0.104328069310043,0.0959999999999989,19,8,0.667954394884586,0.291594840485324,0.0349540093891327,0.624092174397892,1.5910319352017,1,8.32733680266957
n20-final,20,100,8000,1,9,balanced,fixed-total,0.488109961501636,0.624126494415623,0.120159196270967,0.0272470503904816,0.227999999999998,19,9,0.574584016872067,0.484795438153028,0.0966366093881189,0.616905708951362,1.58940448506267,1,7.35158854597255
n20-final,20,100,8000,1,9,balanced,original,0.167429526598133,0.331431839594427,0.379011489850958,0.107853970225069,0.107999999999999,19,9,0.787640481980571,0.159932011138048,0.0270965596309758,0.623940792632563,1.59102589446156,1,7.63309798756075
n20-final,20,100,8000,1,9,nearest,fixed-total,0.853110725835394,0.939923140895688,0.150071557490502,0.00661878846596382,0.227999999999998,19,9,0.472360235624769,0.586644019053595,0.131180963956824,0.615250211087123,1.58828456477862,1,2.31562572995822
n20-final,20,100,8000,1,9,nearest,original,0.294141153976655,0.480172890523278,0.35139395788924,0.0908938499635354,0.107999999999999,19,9,0.611360598475972,0.431124676968317,0.0454196231999294,0.625590191071964,1.59106573542765,1,5.29184413606342
n20-final,20,100,8000,1,9,random,fixed-total,0.847341435773866,0.893810180314174,0.092212516901062,0.0182729904343608,0.227999999999998,19,9,0.480980157306546,0.600962017882236,0.133498186752006,0.613354801700752,1.58810310358751,1,9.40088394933501
n20-final,20,100,8000,1,9,random,original,0.224327318159372,0.417472612965068,0.364679691932949,0.104006673881689,0.107999999999999,19,9,0.662574757565563,0.348387302480307,0.0424749011751219,0.623713212029505,1.59096002018056,1,9.40088394933501
