profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
n20-100,20,100,8000,1,0,balanced,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,balanced,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,balanced,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,balanced,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,nearest,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,nearest,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,nearest,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,nearest,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,random,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,random,fixed-total,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,random,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,0,random,original,0.0918888808744545,0.387838469880152,0.375586613975774,0.116177247448406,0,19,0,0,0,0,0.63672450418195,1.59181126045487,0.05,0
n20-100,20,100,8000,1,1,balanced,fixed-total,0.280373094626285,0.652547592601741,0.34476020123365,9.18908446047447e-05,0.227999999999998,19,1,0,1,0.227740129535171,0.579391645951493,1.57556855723152,0.15,-5.87734179610468e-16
n20-100,20,100,8000,1,1,balanced,original,0.0908660120502069,0.368996823809011,0.375427428069198,0.111859799039021,0.0119999999999999,19,1,0,1,0.0119875792323691,0.63672450418195,1.59181126045487,1,0.286382178480814
