condition,trials,meanGO,medianGO,goP05,goP95,meanLO,medianLO,loP05,loP95,meanPairDistanceNorm,medianPairDistanceNorm,pairP05,pairP95
all-original,10,0.704599748950382,0.707398902808346,0.413148850999314,0.948422551764954,0.818140435199841,0.840537376874617,0.623609448902724,0.967958191882788,0.141237674175254,0.132454145117171,0.0648730847349371,0.227531015240604
zero-input,10,0.189738733987751,0.164617881586132,0.0553829747239362,0.363192818048402,0.3598813152244,0.356841858756242,0.277045007052255,0.443061908380712,0.38199896115803,0.38088307089659,0.373245428377147,0.392889104492411
