profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
pilot,20,60,2000,1,19,all,original,0.245767967523543,0.379019392246814,0.115750957211804,0.228000000000001,19,0.821371920230645,0.219709942837015,0.0673217815795095,0.614530559305325,0.953870908691091,1,20
pilot,20,60,2000,1,0,random,original,0.118349517349609,0.391360027647203,0.109374432057782,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,1,0,random,fixed-total,0.118349517349609,0.391360027647203,0.109374432057782,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,1,0,nearest,original,0.118349517349609,0.391360027647203,0.109374432057782,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,1,0,nearest,fixed-total,0.118349517349609,0.391360027647203,0.109374432057782,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,1,0,balanced,original,0.118349517349609,0.391360027647203,0.109374432057782,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,1,0,balanced,fixed-total,0.118349517349609,0.391360027647203,0.109374432057782,0,0,0,0,0,0.636910753643249,0.955366130464872,0.05,0
pilot,20,60,2000,1,1,random,original,0.118170326645945,0.390186827285293,0.10897084634418,0.012,1,0,1,0.0119654279036804,0.636910753643249,0.955366130464872,1,0.995110467300517
pilot,20,60,2000,1,1,random,fixed-total,0.306110437505711,0.123678817700527,0.0289999708561063,0.228000000000001,1,0,1,0.227348291858214,0.620566106726326,0.953895374956033,1,0.995110467300517
pilot,20,60,2000,1,1,nearest,original,0.134461680913578,0.390943273282664,0.106662775067911,0.012,1,0,1,0.0119667955477532,0.636910753643249,0.955366130464872,1,0.0265262532478326
pilot,20,60,2000,1,1,nearest,fixed-total,0.329309352356647,0.332044978447546,0.0137712930984344,0.228000000000001,1,0,1,0.227446856263047,0.585498493069188,0.946584880980282,0.45,-1.17926902511754e-16
pilot,20,60,2000,1,1,balanced,original,0.134461680913578,0.390943273282664,0.106662775067911,0.012,1,0,1,0.0119667955477532,0.636910753643249,0.955366130464872,1,0.0265262532478326
pilot,20,60,2000,1,1,balanced,fixed-total,0.329309352356647,0.332044978447546,0.0137712930984344,0.228000000000001,1,0,1,0.227446856263047,0.585498493069188,0.946584880980282,0.45,-1.17926902511754e-16
pilot,20,60,2000,1,2,random,original,0.123663073215144,0.391350420735279,0.10410996971727,0.024,2,0.256897386144445,0.621678055654505,0.0141424649693688,0.636910753643249,0.955366130464872,1,2.02701551253556
pilot,20,60,2000,1,2,random,fixed-total,0.279794779905792,0.108352452106145,0.0331655305225454,0.228000000000001,2,0.170872981471365,0.767148468544978,0.163850168359046,0.618210290226337,0.953804377603732,1,2.02701551253556
pilot,20,60,2000,1,2,nearest,original,0.130324409447005,0.391554593860762,0.109878231442715,0.024,2,0.265283826052681,0.607650130841192,0.0139578163952475,0.636910753643249,0.955366130464872,1,0.281090991958075
pilot,20,60,2000,1,2,nearest,fixed-total,0.133257300383903,0.361342175077508,0.0297003738852147,0.228000000000001,2,0.156368679874477,0.799330817689293,0.164540614922961,0.609816624688534,0.951996923874313,0.55,-8.46436268723573e-16
pilot,20,60,2000,1,2,balanced,original,0.128181832054558,0.391116127081285,0.0989642293604366,0.024,2,0.471759507238757,0.0883171560519179,0.0119832813333826,0.636910753643249,0.955366130464872,1,0.837754090386121
pilot,20,60,2000,1,2,balanced,fixed-total,0.141131025133147,0.39062536749037,0.123316997929016,0.228000000000001,2,0.475957422092605,0.0752081336986096,0.113838880160153,0.598671976585241,0.949079723733419,1,0.91160389293439
pilot,20,60,2000,1,3,random,original,0.180770749236252,0.387765414483719,0.105837695105303,0.0359999999999998,3,0.395336311554506,0.512619947234731,0.0181521489191019,0.636910753643249,0.955366130464872,1,3.07925664941402
pilot,20,60,2000,1,3,random,fixed-total,0.158133490825806,0.121794063444196,0.0331555402762338,0.228000000000001,3,0.265380622634775,0.704278972920897,0.150136345414226,0.618034212719268,0.953824946430771,1,3.07925664941402
pilot,20,60,2000,1,3,nearest,original,0.148152786512873,0.392260267893641,0.111124374812641,0.0359999999999998,3,0.421077904899511,0.470148550017931,0.0176095441006879,0.636910753643249,0.955366130464872,1,0.633754644503062
pilot,20,60,2000,1,3,nearest,fixed-total,0.323360805788321,0.354389963058538,0.060893529109247,0.228000000000001,3,0.29074535592693,0.663857186256737,0.142017790036183,0.617505401015866,0.953370429566302,1,0.243345028145937
pilot,20,60,2000,1,3,balanced,original,0.130883567729039,0.391594815382085,0.105480949285201,0.0359999999999998,3,0.51659651534251,0.299468548279292,0.012003480854089,0.636910753643249,0.955366130464872,1,1.8514798735413
pilot,20,60,2000,1,3,balanced,fixed-total,0.126559881579872,0.379748621548741,0.0774791482645086,0.228000000000001,3,0.522245439832291,0.288726557564679,0.0760202734743441,0.611331305837104,0.95309301298253,1,1.86280902752788
pilot,20,60,2000,1,4,random,original,0.112869942574908,0.390848880332483,0.1056622529321,0.048,4,0.492886170708524,0.424740921482875,0.0218044269753466,0.636910753643249,0.955366130464872,1,4.10362877004897
pilot,20,60,2000,1,4,random,fixed-total,0.331103294761354,0.124661238377418,0.039210496418272,0.228000000000001,4,0.33062140124066,0.662133595474247,0.139705416881265,0.61760874237491,0.953791213674724,1,4.10362877004897
pilot,20,60,2000,1,4,nearest,original,0.125922976612414,0.393682374749346,0.107344049299954,0.048,4,0.499325294806986,0.397585245653003,0.0222298023087262,0.636647590916441,0.955349994940706,1,1.09032230261455
pilot,20,60,2000,1,4,nearest,fixed-total,0.527668486375469,0.298217247161816,0.0447998208208549,0.228000000000001,4,0.282289666882576,0.708266186756429,0.154907287694016,0.621445141302455,0.953952793240429,1,0.0451651752125637
pilot,20,60,2000,1,4,balanced,original,0.132268029900368,0.391703430843764,0.103967394045111,0.048,4,0.703690574929228,0.0807679733109966,0.012177641694996,0.636910753643249,0.955366130464872,1,2.81365752733415
pilot,20,60,2000,1,4,balanced,fixed-total,0.200291606928143,0.377336319660287,0.108862245461387,0.228000000000001,4,0.682546466811779,0.118975936226373,0.0591057159967492,0.614830950671777,0.953928436739575,1,2.37809601627653
pilot,20,60,2000,1,5,random,original,0.151240041940604,0.389939589347025,0.11109693552307,0.0600000000000001,5,0.556668079443902,0.375604476838433,0.0253779060087432,0.636910753643249,0.955366130464872,1,5.15977944539455
pilot,20,60,2000,1,5,random,fixed-total,0.190196869707198,0.210099280241491,0.0533585225643721,0.228000000000001,5,0.424800016216653,0.554160416332303,0.12741095211689,0.615507747821829,0.953434092337201,1,5.15977944539455
pilot,20,60,2000,1,5,nearest,original,0.0457918859539708,0.39404088209277,0.105668049963527,0.0600000000000001,5,0.556638106527846,0.370410549236626,0.0261473143566069,0.63537098842921,0.955271214756011,1,1.61031720342308
pilot,20,60,2000,1,5,nearest,fixed-total,0.396624690594025,0.313150720279137,0.0394428768039916,0.228000000000001,5,0.34379728369082,0.67693454573333,0.136161201749228,0.622208942090416,0.954061054934063,1,0.0274843964341606
pilot,20,60,2000,1,5,balanced,original,0.113462663424088,0.391112256886066,0.103817666933535,0.0600000000000001,5,0.724442445381239,0.180715142318176,0.0148800802924018,0.636910753643249,0.955366130464872,1,3.5461837888969
pilot,20,60,2000,1,5,balanced,fixed-total,0.0283160748142348,0.382898824042939,0.133370286949811,0.228000000000001,5,0.731754095395075,0.178850797653462,0.0565394142712446,0.614692783351794,0.953906924870863,1,3.53126154571196
pilot,20,60,2000,1,7,random,original,0.159091183534319,0.387957576298497,0.117403290035221,0.0839999999999997,7,0.642240254462625,0.318929982658851,0.0308954625409992,0.628360247962824,0.954842467106668,1,7.23559277636212
pilot,20,60,2000,1,7,random,fixed-total,0.123890154395436,0.192915413717315,0.0534498055338421,0.228000000000001,7,0.474318612686298,0.560070901000924,0.11992164777649,0.616627000889965,0.953696576405217,1,7.23559277636212
pilot,20,60,2000,1,7,nearest,original,0.153545147601735,0.391263793620949,0.115748615982999,0.0839999999999997,7,0.647796206271173,0.296214507481862,0.0317117570428723,0.629919155703388,0.954937680005483,1,2.86251239325924
pilot,20,60,2000,1,7,nearest,fixed-total,0.0635816294474267,0.295120040611241,0.0598781155290383,0.228000000000001,7,0.389223167875801,0.68447291967195,0.142282909594069,0.621654648643134,0.95415280501439,1,0.245295565541501
pilot,20,60,2000,1,7,balanced,original,0.078259283317831,0.390950005837322,0.115310915640351,0.0839999999999997,7,0.771987998753223,0.126215902826526,0.0186751715677112,0.630497964634193,0.954973348001228,1,5.31600298514042
pilot,20,60,2000,1,7,balanced,fixed-total,0.071432049330731,0.392537324584531,0.120390662362216,0.228000000000001,7,0.773733891984098,0.130839442038457,0.0510825282009681,0.615509069429804,0.954054717778168,1,5.44736951346202
pilot,20,60,2000,1,10,random,original,0.162014443795515,0.38462909708987,0.118835776734558,0.12,10,0.710046545286814,0.276304220076461,0.0403387384450767,0.619317152392221,0.954288912087692,1,10.3883428433452
pilot,20,60,2000,1,10,random,fixed-total,0.146611488570052,0.218943177442115,0.0622778593727742,0.228000000000001,10,0.539199411596634,0.508522804177201,0.118037073288123,0.615363119433925,0.95345130389022,1,10.3883428433452
pilot,20,60,2000,1,10,nearest,original,0.0760547788545475,0.391441997588872,0.111320720476116,0.12,10,0.741348655143205,0.211765796403402,0.0347632738904013,0.620682084852111,0.954372274600424,1,6.38568412713609
pilot,20,60,2000,1,10,nearest,fixed-total,0.295583658458797,0.353555086084921,0.0890948742199818,0.228000000000001,10,0.640605807802654,0.46234178737084,0.101502625599692,0.614679499815722,0.953601621887655,1,2.80025794873513
