T,dampedRMSE,cvRMSE,holdRMSE,dampedCoverage95,dampedWholeCircleFraction,jumpCasesOf120,dampedBetterThanHoldSeedsOf2,dampedBetterThanCVSeedsOf2,seed140DampedMinusHoldMSE,seed141DampedMinusHoldMSE,seed140DampedMinusCVMSE,seed141DampedMinusCVMSE,selectedQ,selectedTau
3,0.252075761634295,0.228632449876019,0.152049982145687,0.825,0,0,1,1,0.0869950459707599,-0.00614906090474726,0.0579187609420446,-0.0353799760076454,1e-05,10
10.2,0.422896049359908,0.516400154942256,0.463358674106957,0.816666666666667,0,1,2,2,-0.0131846758409362,-0.0585357087709427,-0.0173212942622907,-0.158334808658046,1e-05,10
30,0.7230129446832,0.815810262855274,0.771235988741745,0.716666666666667,0,2,2,2,-0.0116152019950849,-0.132499262306884,-0.143066066527651,-0.142531267073386,1e-05,10
60,1.18021089134066,1.21675699027601,1.19417726779533,0.608333333333333,0,4,1,1,0.0334111475300963,-0.0997343452900838,0.126809996770313,-0.302009647463142,1e-05,10
120,1.64229910769389,1.69421434631707,1.62129247012493,0.475,0,7,0,1,0.119491366129834,0.0176228047668084,-0.369337197809931,0.0229054135410649,1e-05,10
