seed,focal,startIndex,q,tau,T,predictionSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS,estimatedStartRate
138,1,6001,1e-06,1,3,0.00778191513978039,0.0015470590841973,7.75976046449643e-06,0,0,0,26.7969374356891,-0.000857969985955974
138,1,6001,1e-06,1,10.2,0.0293657991846538,0.0150123053866208,1.49508376673011e-05,0,0,0,26.7969374356891,-0.000857969985955974
138,1,6001,1e-06,1,30,0.177166108988958,0.138437030182575,3.4750830993288e-05,0,0,0,26.7969374356891,-0.000857969985955974
138,1,6001,1e-06,1,60,0.737404104202803,0.655909811610098,6.47508309932881e-05,0,0,0,26.7969374356891,-0.000857969985955974
138,1,6001,1e-06,1,120,2.70335060371601,2.54513248605671,0.00012475083099329,0,0,0,26.7969374356891,-0.000857969985955974
138,1,6001,1e-06,3,3,0.00220769073389726,0.0015470590841973,2.621962987178e-05,0,0,0,3.8407925953988,-0.00353757004602235
138,1,6001,1e-06,3,10.2,0.0160346741750063,0.0150123053866208,8.46509429289682e-05,0,0,0,3.8407925953988,-0.00353757004602235
138,1,6001,1e-06,3,30,0.141241387845945,0.138437030182575,0.000262194259975436,0,0,0,3.8407925953988,-0.00353757004602235
138,1,6001,1e-06,3,60,0.661996691327838,0.655909811610098,0.000532193362731017,0,0,0,3.8407925953988,-0.00353757004602235
138,1,6001,1e-06,3,120,2.55710909265976,2.54513248605671,0.00107219336269028,0,0,0,3.8407925953988,-0.00353757004602235
138,1,6001,1e-06,10,3,0.000554345977924243,0.0015470590841973,5.60826927994598e-05,0,0,0,1.11190047059769,-0.00705468588635831
138,1,6001,1e-06,10,10.2,0.00638609337660098,0.0150123053866208,0.000332597444157278,0,0,0,1.11190047059769,-0.00705468588635831
138,1,6001,1e-06,10,30,0.0945765917269486,0.138437030182575,0.00189287592835178,0,0,0,1.11190047059769,-0.00705468588635831
138,1,6001,1e-06,10,60,0.550574302042888,0.655909811610098,0.00482447770600096,0,0,0,1.11190047059769,-0.00705468588635831
138,1,6001,1e-06,10,120,2.33263628690098,2.54513248605671,0.0108208700349804,0,0,0,1.11190047059769,-0.00705468588635831
138,1,6001,1e-06,30,3,0.000188069670285179,0.0015470590841973,7.30629624047013e-05,1,0,0,0.865923737051256,-0.00869816182730453
138,1,6001,1e-06,30,10.2,0.00216467108000824,0.0150123053866208,0.000583080421235792,1,0,0,0.865923737051256,-0.00869816182730453
138,1,6001,1e-06,30,30,0.0425745558704598,0.138437030182575,0.00575039493237488,0,0,0,0.865923737051256,-0.00869816182730453
138,1,6001,1e-06,30,60,0.3404327435428,0.655909811610098,0.0227288360249296,0,0,0,0.865923737051256,-0.00869816182730453
138,1,6001,1e-06,30,120,1.79130122204987,2.54513248605671,0.0712385884144291,0,0,0,0.865923737051256,-0.00869816182730453
138,1,6001,1e-06,60,3,0.000118912634273047,0.0015470590841973,7.83227776406567e-05,1,0,0,0.841702116588992,-0.0091686561879245
138,1,6001,1e-06,60,10.2,0.00121964204513469,0.0150123053866208,0.000681401019582139,1,0,0,0.841702116588992,-0.0091686561879245
138,1,6001,1e-06,60,30,0.0237214942818544,0.138437030182575,0.00820406362496337,1,0,0,0.841702116588992,-0.0091686561879245
138,1,6001,1e-06,60,60,0.212099394487414,0.655909811610098,0.0410032172224745,0,0,0,0.841702116588992,-0.0091686561879245
138,1,6001,1e-06,60,120,1.25010288534137,2.54513248605671,0.173077269348732,0,0,0,0.841702116588992,-0.0091686561879245
138,1,6001,1e-06,Inf,3,6.29057533293125e-05,0.0015470590841973,8.40741847535785e-05,1,0,0,0.832388753372832,-0.0096650699652153
138,1,6001,1e-06,Inf,10.2,0.000463749867096333,0.0150123053866208,0.000801581202199402,1,0,0,0.832388753372832,-0.0096650699652153
138,1,6001,1e-06,Inf,30,0.00635416619511425,0.138437030182575,0.0121645920110148,1,0,0,0.832388753372832,-0.0096650699652153
138,1,6001,1e-06,Inf,60,0.0517891271463589,0.655909811610098,0.0840083161455725,1,0,0,0.832388753372832,-0.0096650699652153
138,1,6001,1e-06,Inf,120,0.187603843436832,2.54513248605671,0.622782900887812,1,0,0,0.832388753372832,-0.0096650699652153
138,1,6001,1e-05,1,3,0.00257354890217623,0.0015470590841973,3.91769275830712e-05,0,0,0,3.50549582021234,-0.00191423914204967
138,1,6001,1e-05,1,10.2,0.0179096568070473,0.0150123053866208,0.000110959928978365,0,0,0,3.50549582021234,-0.00191423914204967
138,1,6001,1e-05,1,30,0.146975203464517,0.138437030182575,0.000308959766410041,0,0,0,3.50549582021234,-0.00191423914204967
138,1,6001,1e-05,1,60,0.674344430824439,0.655909811610098,0.000608959766410042,0,0,0,3.50549582021234,-0.00191423914204967
138,1,6001,1e-05,1,120,2.58132203081152,2.54513248605671,0.00120895976641005,0,0,0,3.50549582021234,-0.00191423914204967
138,1,6001,1e-05,3,3,0.00102800669476776,0.0015470590841973,0.000134604910721182,0,0,0,1.10471794069742,-0.00510699930714602
138,1,6001,1e-05,3,10.2,0.0121285324379246,0.0150123053866208,0.000685630132937902,0,0,0,1.10471794069742,-0.00510699930714602
138,1,6001,1e-05,3,30,0.128999897504303,0.138437030182575,0.00245743220827159,0,0,0,1.10471794069742,-0.00510699930714602
138,1,6001,1e-05,3,60,0.63517103570364,0.655909811610098,0.00515741825082665,0,0,0,1.10471794069742,-0.00510699930714602
138,1,6001,1e-05,3,120,2.50411865731786,2.54513248605671,0.0105574182501929,0,0,0,1.10471794069742,-0.00510699930714602
138,1,6001,1e-05,10,3,0.00034553467402793,0.0015470590841973,0.000259688155587509,1,0,0,0.828510604142474,-0.00760236867289049
138,1,6001,1e-05,10,10.2,0.00531071152676553,0.0150123053866208,0.00253992785567596,1,0,0,0.828510604142474,-0.00760236867289049
138,1,6001,1e-05,10,30,0.0892769135228064,0.138437030182575,0.0175565191390109,0,0,0,0.828510604142474,-0.00760236867289049
138,1,6001,1e-05,10,60,0.537299546189124,0.655909811610098,0.0467683393140249,0,0,0,0.828510604142474,-0.00760236867289049
138,1,6001,1e-05,10,120,2.30518558295994,2.54513248605671,0.106726707849379,0,0,0,0.828510604142474,-0.00760236867289049
138,1,6001,1e-05,30,3,0.000169583097547811,0.0015470590841973,0.000322248009596186,1,0,0,0.803950132728654,-0.00852834694765378
138,1,6001,1e-05,30,10.2,0.00219193951957895,0.0150123053866208,0.00424460385047675,1,0,0,0.803950132728654,-0.00852834694765378
138,1,6001,1e-05,30,30,0.0434222611408231,0.138437030182575,0.0517801529725403,1,0,0,0.803950132728654,-0.00852834694765378
138,1,6001,1e-05,30,60,0.34421089550444,0.655909811610098,0.217286004055977,1,0,0,0.803950132728654,-0.00852834694765378
138,1,6001,1e-05,30,120,1.80155429434112,2.54513248605671,0.699778654903017,1,0,0,0.803950132728654,-0.00852834694765378
138,1,6001,1e-05,60,3,0.000131375696838142,0.0015470590841973,0.000340812272201166,1,0,0,0.801594952937552,-0.00877665792826043
138,1,6001,1e-05,60,10.2,0.00144479803884482,0.0150123053866208,0.00488614412445337,1,0,0,0.801594952937552,-0.00877665792826043
138,1,6001,1e-05,60,30,0.0264655415696243,0.138437030182575,0.0729187616346205,1,0,0,0.801594952937552,-0.00877665792826043
138,1,6001,1e-05,60,60,0.225454077695522,0.655909811610098,0.388225980766369,1,0,0,0.801594952937552,-0.00877665792826043
138,1,6001,1e-05,60,120,1.29465019395177,2.54513248605671,1.69135298761072,1,0,0,0.801594952937552,-0.00877665792826043
138,1,6001,1e-05,Inf,3,9.65425400943075e-05,0.0015470590841973,0.000360744501894744,1,0,0,0.800754664997265,-0.00903193963445842
138,1,6001,1e-05,Inf,10.2,0.000783310365088915,0.0150123053866208,0.00565439194125084,1,0,0,0.800754664997265,-0.00903193963445842
138,1,6001,1e-05,Inf,30,0.00974205214319327,0.138437030182575,0.106385580872012,1,0,0,0.800754664997265,-0.00903193963445842
138,1,6001,1e-05,Inf,60,0.0705194402141419,0.655909811610098,0.783690602929401,1,0,0,0.800754664997265,-0.00903193963445842
138,1,6001,1e-05,Inf,120,0.259186000727087,2.54513248605671,6.0111416417162,1,1,0,0.800754664997265,-0.00903193963445842
138,1,6001,0.0001,1,3,0.00166177537017184,0.0015470590841973,0.000258165927475207,0,0,0,1.02637960946042,-0.00198613029955034
138,1,6001,0.0001,1,10.2,0.0153408315981785,0.0150123053866208,0.000974004033402838,0,0,0,1.02637960946042,-0.00198613029955034
138,1,6001,0.0001,1,30,0.139430990710045,0.138437030182575,0.0029540009076332,0,0,0,1.02637960946042,-0.00198613029955034
138,1,6001,0.0001,1,60,0.658071260429087,0.655909811610098,0.00595400090763322,0,0,0,1.02637960946042,-0.00198613029955034
138,1,6001,0.0001,1,120,2.54938849163142,2.54513248605671,0.0119540009076333,0,0,0,1.02637960946042,-0.00198613029955034
138,1,6001,0.0001,3,3,0.00122788683544072,0.0015470590841973,0.00085155977240642,1,0,0,0.775249247382935,-0.00301554857119733
138,1,6001,0.0001,3,10.2,0.013272675618585,0.0150123053866208,0.00609455609216846,1,0,0,0.775249247382935,-0.00301554857119733
138,1,6001,0.0001,3,30,0.132825369870478,0.138437030182575,0.0237822631106611,0,0,0,0.775249247382935,-0.00301554857119733
138,1,6001,0.0001,3,60,0.643626018352844,0.655909811610098,0.0507820817885055,0,0,0,0.775249247382935,-0.00301554857119733
138,1,6001,0.0001,3,120,2.52087895033601,2.54513248605671,0.104782081780272,0,0,0,0.775249247382935,-0.00301554857119733
138,1,6001,0.0001,10,3,0.000951956080426126,0.0015470590841973,0.00151877752463357,1,0,0,0.747219878455028,-0.00364379781582561
138,1,6001,0.0001,10,10.2,0.0100382884448998,0.0150123053866208,0.0215428802884426,1,0,0,0.747219878455028,-0.00364379781582561
138,1,6001,0.0001,10,30,0.114523091770163,0.138437030182575,0.16810499472746,1,0,0,0.747219878455028,-0.00364379781582561
138,1,6001,0.0001,10,60,0.599850416311181,0.655909811610098,0.459569533043534,1,0,0,0.747219878455028,-0.00364379781582561
138,1,6001,0.0001,10,120,2.43320862989025,2.54513248605671,1.05911829036096,1,0,0,0.747219878455028,-0.00364379781582561
138,1,6001,0.0001,30,3,0.00084975012832021,0.0015470590841973,0.00182674877316044,1,0,0,0.745009254547032,-0.00386418605509794
138,1,6001,0.0001,30,10.2,0.00809299950959138,0.0150123053866208,0.0349682030294765,1,0,0,0.745009254547032,-0.00386418605509794
138,1,6001,0.0001,30,30,0.0897852720921737,0.138437030182575,0.487187424422228,1,0,0,0.745009254547032,-0.00386418605509794
138,1,6001,0.0001,30,60,0.504803728507796,0.655909811610098,2.11766984579383,1,0,0,0.745009254547032,-0.00386418605509794
138,1,6001,0.0001,30,120,2.19749311436333,2.54513248605671,6.92750390950807,1,1,0,0.745009254547032,-0.00386418605509794
138,1,6001,0.0001,60,3,0.000822312875683794,0.0015470590841973,0.00191576532005965,1,0,0,0.744860020589747,-0.00392257522963056
138,1,6001,0.0001,60,10.2,0.00749128742049754,0.0150123053866208,0.039898884380448,1,0,0,0.744860020589747,-0.00392257522963056
138,1,6001,0.0001,60,30,0.0785614674329031,0.138437030182575,0.680993365933504,1,0,0,0.744860020589747,-0.00392257522963056
138,1,6001,0.0001,60,60,0.438153795019166,0.655909811610098,3.76296214043312,1,1,0,0.744860020589747,-0.00392257522963056
138,1,6001,0.0001,60,120,1.93951884912027,2.54513248605671,16.6944339991607,1,1,0,0.744860020589747,-0.00392257522963056
138,1,6001,0.0001,Inf,3,0.00079410450176836,0.0015470590841973,0.00201027975025284,1,0,0,0.74487217503286,-0.00398234222550022
138,1,6001,0.0001,Inf,10.2,0.0068391307603051,0.0150123053866208,0.0457343308175817,1,0,0,0.74487217503286,-0.00398234222550022
138,1,6001,0.0001,Inf,30,0.0642091365576531,0.138437030182575,0.984502341602683,1,0,0,0.74487217503286,-0.00398234222550022
138,1,6001,0.0001,Inf,60,0.326882365050499,0.655909811610098,7.53294378013383,1,1,0,0.74487217503286,-0.00398234222550022
138,1,6001,0.0001,Inf,120,1.25050606287326,2.54513248605671,58.9217748425493,1,1,0,0.74487217503286,-0.00398234222550022
138,1,6001,0.001,1,3,0.00172667565234436,0.0015470590841973,0.0020456181792677,1,0,0,0.686171833123561,-0.00159553020168267
138,1,6001,0.001,1,10.2,0.0155415992986279,0.0150123053866208,0.00918288703239527,1,0,0,0.686171833123561,-0.00159553020168267
138,1,6001,0.001,1,30,0.140034956583755,0.138437030182575,0.0289828397923547,0,0,0,0.686171833123561,-0.00159553020168267
138,1,6001,0.001,1,60,0.659382602090163,0.655909811610098,0.0589828397923547,0,0,0,0.686171833123561,-0.00159553020168267
138,1,6001,0.001,1,120,2.55196891559937,2.54513248605671,0.118982839792354,0,0,0,0.686171833123561,-0.00159553020168267
138,1,6001,0.001,3,3,0.00156069036048291,0.0015470590841973,0.00637023124199417,1,0,0,0.655436496060232,-0.00185506046886807
138,1,6001,0.001,3,10.2,0.0146013455825466,0.0150123053866208,0.0570166189746681,1,0,0,0.655436496060232,-0.00185506046886807
138,1,6001,0.001,3,30,0.137045899478071,0.138437030182575,0.233684944983346,1,0,0,0.655436496060232,-0.00185506046886807
138,1,6001,0.001,3,60,0.652877214514409,0.655909811610098,0.50368284358267,1,0,0,0.655436496060232,-0.00185506046886807
138,1,6001,0.001,3,120,2.53915531745505,2.54513248605671,1.04368284348726,1,0,0,0.655436496060232,-0.00185506046886807
