seed,mode,occludedGO,inputMass,freshCount,activeCount
136,none,0.331536164974231,0.029727596585781,2,2
136,hold,0.331540704243855,0.0599000934057144,2,4
136,kalman,0.331544498256056,0.0599000928126336,2,4
137,none,0.720687784573188,0.0368005123578065,2,2
137,hold,0.720687784573188,0.0654679612575284,2,4
137,kalman,0.720687784573188,0.0654679612575284,2,4
