T,kalmanRMSE,holdRMSE,nominal95Coverage,seedsImprovedOf15,meanVariance
30,1.23476469594367,1.16156776809823,0.503333333333333,4,0.0175581569974071
60,1.40929703580333,1.43848715594637,0.495,10,0.105439709753164
120,1.75013385758152,1.76564839734517,0.553333333333333,8,0.708471303608179
