seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered
101,1,41,1e-08,30,0.451590666737686,0.99759477811859,0.000511393838153745,0
101,1,41,1e-08,60,3.01245859680652,5.70284084384117,0.00188882742211014,0
101,1,41,1e-08,120,1.01871109814252,5.34989745016024,0.00965274561946435,0
101,1,61,1e-08,30,0.495518037295893,0.324565315227314,0.000511393838153745,0
101,1,61,1e-08,60,1.33026990982871,1.35033320549095,0.00188882742211014,0
101,1,61,1e-08,120,8.55712768278855,2.17180522672546,0.00965274561946435,0
101,1,41,1e-06,30,0.454053640124687,0.99759477811859,0.0175581569974071,0
101,1,41,1e-06,60,3.02124042630596,5.70284084384117,0.105439709753164,0
101,1,41,1e-06,120,1.02664736178601,5.34989745016024,0.70847130360818,1
101,1,61,1e-06,30,1.31406750890018,0.324565315227314,0.0175581569974071,0
101,1,61,1e-06,60,5.44272636068561,1.35033320549095,0.105439709753164,0
101,1,61,1e-06,120,6.00222279143924,2.17180522672546,0.70847130360818,0
101,1,41,0.0001,30,0.454592092259404,0.99759477811859,1.68021537013102,1
101,1,41,0.0001,60,3.02390554048039,5.70284084384117,10.3200544534141,1
101,1,41,0.0001,120,1.02969048253618,5.34989745016024,70.0789037415827,1
101,1,61,0.0001,30,0.156220928435059,0.324565315227314,1.68021537013102,1
101,1,61,0.0001,60,0.589908952151881,1.35033320549095,10.3200544534141,1
101,1,61,0.0001,120,5.69618379256686,2.17180522672546,70.0789037415827,1
101,2,41,1e-08,30,0.442539850434974,1.05953458347774,0.000511393838153745,0
101,2,41,1e-08,60,2.70660579726831,5.73488305608151,0.00188882742211014,0
101,2,41,1e-08,120,3.25204702391654,8.75738180967881,0.00965274561946435,0
101,2,61,1e-08,30,5.49688823781958e-05,0.00150854730094829,0.000511393838153745,1
101,2,61,1e-08,60,0.000780370231660564,0.00457928871970086,0.00188882742211014,1
101,2,61,1e-08,120,0.00408608518948201,0.017000485690838,0.00965274561946435,1
101,2,41,1e-06,30,0.319175399592575,1.05953458347774,0.0175581569974071,0
101,2,41,1e-06,60,2.14696559228572,5.73488305608151,0.105439709753164,0
101,2,41,1e-06,120,2.14368574535427,8.75738180967881,0.70847130360818,1
101,2,61,1e-06,30,0.000275341661115869,0.00150854730094829,0.0175581569974071,1
101,2,61,1e-06,60,0.00186977557230591,0.00457928871970086,0.105439709753164,1
101,2,61,1e-06,120,0.00836881579896819,0.017000485690838,0.70847130360818,1
101,2,41,0.0001,30,0.31583175979257,1.05953458347774,1.68021537013102,1
101,2,41,0.0001,60,2.13177045872682,5.73488305608151,10.3200544534141,1
101,2,41,0.0001,120,2.11552369756872,8.75738180967881,70.0789037415827,1
101,2,61,0.0001,30,0.000275428811100487,0.00150854730094829,1.68021537013102,1
101,2,61,0.0001,60,0.00186642332554472,0.00457928871970086,10.3200544534141,1
101,2,61,0.0001,120,0.00834658395972373,0.017000485690838,70.0789037415827,1
101,3,41,1e-08,30,0.361370487178139,1.65181599967649,0.000511393838153745,0
101,3,41,1e-08,60,0.0532788318256069,3.27889716958426,0.00188882742211014,0
101,3,41,1e-08,120,1.982551443391,3.8558915129501,0.00965274561946435,0
101,3,61,1e-08,30,7.05478069233261e-05,0.00104645160030325,0.000511393838153745,1
101,3,61,1e-08,60,0.000195725851711352,0.00567709033491277,0.00188882742211014,1
101,3,61,1e-08,120,0.00246732300884984,0.0187255990268407,0.00965274561946435,1
101,3,41,1e-06,30,0.0130258689747826,1.65181599967649,0.0175581569974071,1
101,3,41,1e-06,60,0.98499698239372,3.27889716958426,0.105439709753164,0
101,3,41,1e-06,120,6.947554603419,3.8558915129501,0.70847130360818,0
